rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/total_timesteps,time/fps,train/loss,train/policy_gradient_loss,train/value_loss,train/learning_rate,train/approx_kl,train/entropy_loss,train/clip_range,train/clip_fraction,train/explained_variance,train/n_updates
2376.3,87,1,-2.4,32768,373,,,,,,,,,,
2388.1,208,2,-4.8,65536,314,0.039912447333335876,-0.0065964053007519395,0.44012722772022245,5.026221964490122e-05,0.007829413,-2.881690017133951,0.2,0.04715576171875,-0.01244354248046875,10
2387.7,335,3,-2.4,98304,293,0.007776372134685516,-0.014516835426366014,0.4325809931731783,5.026221964490122e-05,0.008480476,-2.8748397857882084,0.2,0.062811279296875,0.0007849931716918945,20
2386.2,460,4,-5.9,131072,284,-0.011647798120975494,-0.02456227228822172,0.475780698939343,5.026221964490122e-05,0.010844046,-2.8670471442397685,0.2,0.1097442626953125,0.00658029317855835,30
2379.7,588,5,-6.9,163840,278,-0.0070985592901706696,-0.03259144099038167,0.4619241698703263,5.026221964490122e-05,0.012503713,-2.8537736993748695,0.2,0.130633544921875,0.030413806438446045,40
2375.7,715,6,-1.7,196608,274,-0.02346980944275856,-0.040643150299638366,0.42539859857351986,5.026221964490122e-05,0.014332613,-2.8373358687385917,0.2,0.16749267578125,-0.020281314849853516,50
2380.4,846,7,-2.1,229376,271,-0.04287619888782501,-0.046331569872927504,0.4419415459473385,5.026221964490122e-05,0.016593404,-2.8171157832723113,0.2,0.1976898193359375,0.010408103466033936,60
2380.9,973,8,-4.7,262144,269,-0.048529136925935745,-0.05224464599514249,0.45186256972083355,5.026221964490122e-05,0.019125374,-2.7954835399519653,0.2,0.2253814697265625,-0.02213442325592041,70
2383.2,1100,9,-3.0,294912,268,-0.05970160290598869,-0.05746230776085213,0.42273873085796365,5.026221964490122e-05,0.021281218,-2.7732186559587717,0.2,0.2503021240234375,-0.033429503440856934,80
2378.1,1226,10,-3.4,327680,267,-0.03940243646502495,-0.06330422449700564,0.4327970874554012,5.026221964490122e-05,0.023438383,-2.759074669983238,0.2,0.2720184326171875,-0.01572287082672119,90
2386.0,1354,11,1.9,360448,266,-0.07926277816295624,-0.06674671671953547,0.47896032683493106,5.026221964490122e-05,0.025880901,-2.7313276465050875,0.2,0.2980865478515625,-0.00032973289489746094,100
2379.3,1481,12,2.0,393216,265,-0.0851750373840332,-0.07097925246871455,0.46725665452249815,5.026221964490122e-05,0.028746668,-2.704712319560349,0.2,0.319195556640625,-0.022826790809631348,110
2379.5,1609,13,-1.2,425984,264,-0.07194878160953522,-0.074394167812261,0.4786657466116594,5.026221964490122e-05,0.032529287,-2.6835420454386623,0.2,0.3428009033203125,-0.0038993358612060547,120
2382.8,1738,14,0.3,458752,263,-0.1009664535522461,-0.07874513060451135,0.4448885476827854,5.026221964490122e-05,0.03605841,-2.656732594920322,0.2,0.369183349609375,-0.029759645462036133,130
2380.8,1867,15,-0.3,491520,263,-0.08239623159170151,-0.08131869167509649,0.4663663264305796,5.026221964490122e-05,0.038719803,-2.6322525141295046,0.2,0.3845001220703125,-0.021146178245544434,140
2386.2,1993,16,-3.5,524288,262,-0.0807155966758728,-0.08353649363980367,0.4641924197465414,5.026221964490122e-05,0.0417675,-2.60311079332605,0.2,0.40487060546875,-0.02794170379638672,150
2381.8,2122,17,0.1,557056,262,-0.10370069742202759,-0.08568748985662751,0.4677904200856574,5.026221964490122e-05,0.046186864,-2.565613130386919,0.2,0.426123046875,-0.0344548225402832,160
2375.5,2249,18,-0.8,589824,262,-0.07527969777584076,-0.08646870535631024,0.47302197420794984,5.026221964490122e-05,0.049199805,-2.5405937197152526,0.2,0.4419403076171875,-0.01446831226348877,170
2377.9,2376,19,1.0,622592,261,-0.08725883066654205,-0.08471822886967857,0.4861621274641948,5.026221964490122e-05,0.05187829,-2.4993317279964686,0.2,0.4474029541015625,0.0032132863998413086,180
2378.8,2504,20,2.9,655360,261,-0.07600279152393341,-0.08664372163748339,0.4945674747083103,5.026221964490122e-05,0.05595184,-2.4795024381950497,0.2,0.4644256591796875,-0.03251206874847412,190
2378.7,2631,21,1.2,688128,261,-0.09622246026992798,-0.0892054192147043,0.5005431842058897,5.026221964490122e-05,0.059978172,-2.4445885327644645,0.2,0.475543212890625,-0.01118481159210205,200
2377.4,2758,22,1.4,720896,261,-0.08410494774580002,-0.09138764063336566,0.48975290223315826,5.026221964490122e-05,0.065136,-2.4026856186799703,0.2,0.4974395751953125,-0.004513382911682129,210
2382.4,2885,23,2.2,753664,261,-0.10616851598024368,-0.09278150500085758,0.48424788970150984,5.026221964490122e-05,0.069251314,-2.371972484467551,0.2,0.5042266845703125,0.003346264362335205,220
2380.2,3012,24,3.8,786432,261,-0.09479425847530365,-0.09383118693494907,0.4683944547781721,5.026221964490122e-05,0.07281585,-2.3419972541276364,0.2,0.514337158203125,-0.007746338844299316,230
2386.3,3139,25,1.1,819200,260,-0.11078878492116928,-0.09465267037539889,0.4760519485746045,5.026221964490122e-05,0.07632813,-2.296498478623107,0.2,0.5221710205078125,-0.02138829231262207,240
2381.0,3269,26,0.6,851968,260,-0.07208410650491714,-0.09522939717753616,0.4934038719336968,5.026221964490122e-05,0.081429124,-2.2623375896830114,0.2,0.5291015625,0.008171141147613525,250
