time/total_timesteps,time/iterations,time/fps,rollout/ep_rew_mean,time/time_elapsed,rollout/ep_len_mean,train/entropy_loss,train/clip_range,train/clip_fraction,train/loss,train/explained_variance,train/n_updates,train/learning_rate,train/value_loss,train/approx_kl,train/policy_gradient_loss
32768,1,287,1.6,114,220.8,,,,,,,,,,
65536,2,258,2.0,253,245.8,-1.3655405577039346,0.2,0.2324310302734375,-0.01323552057147026,0.003015577793121338,10,0.0005311073035145371,0.05563032713307621,0.025317222,-0.021701875914732226
98304,3,249,7.0,394,398.3,-1.298882807372138,0.2,0.3091461181640625,-0.00495477020740509,0.6037053465843201,20,0.0005311073035145371,0.12810210661773452,0.03837153,-0.04859473798496765
131072,4,243,9.9,539,466.7,-1.2210734497755766,0.2,0.3531585693359375,0.06820958852767944,0.6854720711708069,30,0.0005311073035145371,0.14734316672038403,0.04802576,-0.057020234153060304
163840,5,246,14.2,664,548.9,-1.159487674338743,0.2,0.382427978515625,-0.00944405049085617,0.7724795788526535,40,0.0005311073035145371,0.12743659521947848,0.055597294,-0.05821406368395401
196608,6,249,16.4,789,665.3,-1.1140441571362316,0.2,0.4089080810546875,0.002743333578109741,0.830627977848053,50,0.0005311073035145371,0.12132624646546901,0.069495685,-0.0604437293824958
229376,7,251,20.0,912,701.2,-1.0731117925024591,0.2,0.4282501220703125,-0.010818831622600555,0.8382687121629715,60,0.0005311073035145371,0.11254635329423764,0.08067554,-0.059429689958324164
262144,8,253,24.5,1034,820.0,-1.0319352236459962,0.2,0.4423828125,-0.04713665693998337,0.8551712483167648,70,0.0005311073035145371,0.10658760672849894,0.09947719,-0.061972134373172595
294912,9,255,23.1,1156,805.0,-0.9964527213363908,0.2,0.4658660888671875,-0.04604369401931763,0.8812730312347412,80,0.0005311073035145371,0.10921777227413258,0.119341776,-0.06520771523137228
327680,10,256,23.6,1277,815.9,-0.948588011553511,0.2,0.4717987060546875,-0.04902774840593338,0.8984978944063187,90,0.0005311073035145371,0.1056472586667951,0.14112481,-0.06607160156745522
360448,11,257,27.4,1398,886.1,-0.9015632929862477,0.2,0.4755279541015625,-0.07119730114936829,0.907911017537117,100,0.0005311073035145371,0.11119143860923941,0.1541977,-0.06582319760782411
393216,12,258,28.3,1519,969.3,-0.8788431687979028,0.2,0.4783050537109375,0.0095582976937294,0.9064189121127129,110,0.0005311073035145371,0.1323232548125816,0.16289966,-0.06343306683302216
