time/fps,rollout/ep_len_mean,time/iterations,time/time_elapsed,time/total_timesteps,rollout/ep_rew_mean,train/entropy_loss,train/n_updates,train/learning_rate,train/explained_variance,train/policy_gradient_loss,train/value_loss,train/loss,train/clip_range,train/approx_kl,train/clip_fraction
425,864.1,1,77,32768,-20.8,,,,,,,,,,
339,943.3,2,192,65536,-20.6,-1.783549481537193,10,0.0003452643742071318,-0.0006886720657348633,-0.006104354080798657,0.08115659394552495,0.02277420088648796,0.2,0.009383604,0.068304443359375
317,1026.1,3,309,98304,-20.4,-1.765724122035317,20,0.0003452643742071318,0.4323384761810303,-0.016198731876920648,0.09510027045398602,0.0191376693546772,0.2,0.010641007,0.12064208984375
308,1152.2,4,425,131072,-20.1,-1.7448375187115743,30,0.0003452643742071318,0.49128586053848267,-0.026384770902404854,0.09934789866456413,0.015531230717897415,0.2,0.014678938,0.1773101806640625
302,1426.1,5,541,163840,-19.0,-1.7039429063443094,40,0.0003452643742071318,0.48802071809768677,-0.036127958616725665,0.10664630334431421,0.017345592379570007,0.2,0.023689691,0.230596923828125
299,1604.3,6,656,196608,-18.9,-1.6684389128582553,50,0.0003452643742071318,0.4521252512931824,-0.048002927135348726,0.11082320039276965,-0.02097870409488678,0.2,0.03414561,0.3017333984375
297,2104.2,7,771,229376,-18.1,-1.6323847780236975,60,0.0003452643742071318,0.5363450050354004,-0.06119512086497707,0.08777409057183831,-0.07299037277698517,0.2,0.045916185,0.3769378662109375
295,2661.5,8,885,262144,-14.0,-1.573137651779689,70,0.0003452643742071318,0.5458107590675354,-0.07015738806358059,0.0747409048191912,-0.09261254966259003,0.2,0.06518173,0.4457977294921875
294,3276.6,9,1000,294912,-11.0,-1.5276041832054035,80,0.0003452643742071318,0.5591238737106323,-0.07463272060977033,0.0688304658040579,-0.08488720655441284,0.2,0.07970914,0.495428466796875
293,3704.5,10,1114,327680,-7.0,-1.4690974323544652,90,0.0003452643742071318,0.5620518028736115,-0.07699467802176514,0.06109130214790639,-0.08082965016365051,0.2,0.098906,0.528851318359375
293,3958.3,11,1229,360448,1.6,-1.412202882883139,100,0.0003452643742071318,0.6281758844852448,-0.07802550685046299,0.054927375364786715,-0.09192179143428802,0.2,0.11954223,0.55712890625
292,3421.0,12,1344,393216,5.6,-1.3471055167261512,110,0.0003452643742071318,0.6935118734836578,-0.07678101959172637,0.042392134408510175,-0.09497752040624619,0.2,0.1382045,0.571295166015625
291,2992.1,13,1459,425984,7.1,-1.2959223729092628,120,0.0003452643742071318,0.7732499241828918,-0.07097847536842891,0.03789378427663905,-0.07192973047494888,0.2,0.14312756,0.561993408203125
291,3145.0,14,1573,458752,-0.4,-1.244421960832551,130,0.0003452643742071318,0.8316169381141663,-0.06339728168304645,0.028479186662752908,0.05482190102338791,0.2,0.15176295,0.55963134765625
291,2779.0,15,1687,491520,6.3,-1.2140766432043164,140,0.0003452643742071318,0.731552243232727,-0.06590316500041808,0.051853534123074495,-0.0891849547624588,0.2,0.16723904,0.5628997802734375
290,2544.7,16,1801,524288,9.7,-1.1541788201313465,150,0.0003452643742071318,0.8232370018959045,-0.06126985005366805,0.031569603614116204,-0.05173090845346451,0.2,0.1779744,0.5605621337890625
290,2395.5,17,1916,557056,11.0,-1.0998311405419372,160,0.0003452643742071318,0.8388315588235855,-0.059912585113124806,0.029125903366002605,-0.09709881246089935,0.2,0.18714127,0.549591064453125
290,2857.2,18,2030,589824,1.3,-1.0730591396568343,170,0.0003452643742071318,0.8989956006407738,-0.04999575477049802,0.016473004370163837,-0.10283704102039337,0.2,0.17624949,0.540643310546875
289,2347.1,19,2149,622592,10.3,-1.0276787697570398,180,0.0003452643742071318,0.7605201303958893,-0.05856160444200213,0.04725992777694046,-0.07833955436944962,0.2,0.22136757,0.5470703125
289,2722.1,20,2263,655360,-0.7,-1.0134198050247505,190,0.0003452643742071318,0.8764757215976715,-0.04674684294677718,0.02079374111362995,-0.0642300546169281,0.2,0.1936126,0.5357818603515625
289,2576.1,21,2377,688128,6.9,-0.952139918168541,200,0.0003452643742071318,0.6848154962062836,-0.057415862324432965,0.0661974734524847,-0.056145790964365005,0.2,0.2480564,0.53819580078125
289,2485.4,22,2492,720896,9.4,-0.904412159579806,210,0.0003452643742071318,0.7645199447870255,-0.05146492538151506,0.0374980118824169,-0.0634269192814827,0.2,0.24307097,0.5297637939453125
289,2850.2,23,2606,753664,-2.5,-0.8871208086842671,220,0.0003452643742071318,0.8593142181634903,-0.04722497222746824,0.023720190671610908,-0.052093036472797394,0.2,0.25230187,0.52100830078125
289,2602.9,24,2720,786432,9.3,-0.8335572534939274,230,0.0003452643742071318,0.6133800148963928,-0.05791673955682199,0.07534190607511845,-0.05354107916355133,0.2,0.29730412,0.5301300048828125
