start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
1,10,684,1.1,3.0,0.998,0.9821
11,20,643,0.9,2.0,0.9802,0.9627
21,30,715,1.5,3.0,0.9608,0.9455
31,40,676,1.2,3.0,0.9436,0.9267
41,50,686,1.3,4.0,0.9249,0.912
51,60,790,1.9,4.0,0.9102,0.9011
61,70,552,0.4,1.0,0.8993,0.8833
71,80,660,0.9,3.0,0.8815,0.8658
81,90,684,1.3,4.0,0.864,0.852
91,100,624,0.8,3.0,0.8503,0.8351
1,100,671,1.13,4.0,0.998,0.8351
101,110,629,0.8,3.0,0.8334,0.8186
111,120,700,1.2,3.0,0.8169,0.8039
121,130,631,0.9,4.0,0.8039,0.7912
131,140,658,1.1,3.0,0.7896,0.7755
141,150,711,1.6,3.0,0.7739,0.7601
151,160,702,1.4,4.0,0.7586,0.748
161,170,615,0.7,3.0,0.7466,0.7332
171,180,679,1.1,4.0,0.7318,0.7201
181,190,736,1.4,3.0,0.7187,0.7059
191,200,693,1.4,4.0,0.7044,0.696
101,200,675,1.16,4.0,0.8334,0.696
201,210,782,1.8,3.0,0.6946,0.6836
211,220,747,1.8,4.0,0.6836,0.6741
221,230,686,1.3,4.0,0.6741,0.6621
231,240,641,0.9,3.0,0.6607,0.6502
241,250,831,2.2,4.0,0.6502,0.6399
251,260,648,1.0,3.0,0.6386,0.6285
261,270,645,0.9,2.0,0.6272,0.616
271,280,629,0.9,3.0,0.6148,0.6038
281,290,673,1.2,4.0,0.6026,0.593
291,300,746,1.8,3.0,0.5918,0.5824
201,300,703,1.38,4.0,0.6946,0.5824
301,310,656,1.1,3.0,0.5813,0.5709
311,320,720,1.8,5.0,0.5697,0.5618
321,330,716,1.5,4.0,0.5607,0.5518
331,340,664,1.1,2.0,0.5507,0.5408
341,350,618,1.0,4.0,0.5398,0.5312
351,360,615,0.8,2.0,0.5301,0.5207
361,370,644,1.1,4.0,0.5196,0.5114
371,380,673,1.2,3.0,0.5103,0.5012
381,390,686,1.3,3.0,0.5012,0.4933
391,400,606,0.8,2.0,0.4923,0.4835
301,400,660,1.17,5.0,0.5813,0.4835
401,410,647,1.1,3.0,0.4825,0.4739
411,420,705,1.4,3.0,0.4739,0.4654
421,430,612,0.7,3.0,0.4645,0.4562
431,440,651,1.1,4.0,0.4553,0.4481
441,450,698,1.3,3.0,0.4472,0.4401
451,460,632,0.9,3.0,0.4392,0.4322
461,470,600,0.8,4.0,0.4313,0.4245
471,480,630,0.8,2.0,0.4236,0.4161
481,490,662,1.1,3.0,0.4152,0.4078
491,500,603,0.8,3.0,0.407,0.3997
401,500,644,1.0,4.0,0.4825,0.3997
501,510,747,1.6,3.0,0.3989,0.3918
511,520,664,1.2,2.0,0.391,0.3841
521,530,733,1.5,3.0,0.3841,0.3772
531,540,664,1.2,3.0,0.3764,0.3697
541,550,707,1.6,4.0,0.369,0.3639
551,560,770,1.8,3.0,0.3631,0.3574
561,570,738,1.6,3.0,0.3566,0.3503
