start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
1,10,999,0.2,4.0,1.0,1.0
11,20,999,0.9,3.0,1.0,1.0
21,30,999,-0.1,1.0,1.0,1.0
31,40,999,-0.5,3.0,1.0,1.0
41,50,999,-0.5,3.0,1.0,1.0
51,60,999,0.3,3.0,1.0,1.0
61,70,999,-0.5,3.0,1.0,1.0
71,80,999,-1.5,3.0,1.0,1.0
81,90,999,1.2,5.0,1.0,1.0
91,100,999,-1.5,5.0,1.0,1.0
1,100,999,-0.2,5.0,1.0,1.0
101,110,999,0.4,5.0,1.0,1.0
111,120,999,-0.3,4.0,1.0,1.0
121,130,999,-1.5,1.0,1.0,1.0
131,140,999,0.9,4.0,1.0,1.0
141,150,999,1.3,4.0,1.0,1.0
151,160,999,0.2,6.0,1.0,1.0
161,170,999,-0.4,3.0,1.0,1.0
171,180,999,0.2,4.0,1.0,1.0
181,190,999,0.4,5.0,1.0,1.0
191,200,999,0.4,4.0,1.0,1.0
101,200,999,0.16,6.0,1.0,1.0
201,210,999,-3.2,1.0,1.0,1.0
211,220,999,-0.7,7.0,1.0,1.0
221,230,999,0.7,5.0,1.0,1.0
231,240,999,-1.1,3.0,1.0,1.0
241,250,999,-1.3,4.0,1.0,1.0
251,260,999,0.2,2.0,1.0,1.0
261,270,999,-0.2,4.0,1.0,1.0
271,280,999,-1.2,2.0,1.0,1.0
281,290,999,0.5,6.0,1.0,1.0
291,300,999,1.3,3.0,1.0,1.0
201,300,999,-0.5,7.0,1.0,1.0
301,310,999,0.2,4.0,1.0,1.0
311,320,999,0.8,4.0,1.0,1.0
321,330,999,-1.2,3.0,1.0,1.0
331,340,999,1.0,4.0,1.0,1.0
341,350,999,-1.5,2.0,1.0,1.0
351,360,999,-1.2,6.0,1.0,1.0
361,370,999,-0.8,5.0,1.0,1.0
371,380,999,-0.7,4.0,1.0,1.0
381,390,999,-0.3,4.0,1.0,1.0
391,400,999,-1.2,0.0,1.0,1.0
301,400,999,-0.49,6.0,1.0,1.0
401,410,999,-0.1,3.0,1.0,1.0
411,420,999,-1.7,4.0,1.0,1.0
421,430,999,-0.7,5.0,1.0,1.0
431,440,999,-0.6,2.0,1.0,1.0
441,450,999,-0.7,3.0,1.0,1.0
451,460,999,0.6,5.0,1.0,1.0
461,470,999,-1.1,2.0,1.0,1.0
471,480,999,0.0,4.0,1.0,1.0
481,490,999,0.7,6.0,1.0,1.0
491,500,999,1.4,4.0,1.0,1.0
401,500,999,-0.22,6.0,1.0,1.0
501,510,999,-0.3,5.0,1.0,1.0
511,520,999,0.5,3.0,1.0,1.0
521,530,999,0.7,4.0,1.0,1.0
531,540,999,0.3,5.0,1.0,1.0
541,550,999,-0.2,8.0,1.0,1.0
551,560,999,0.6,6.0,1.0,1.0
561,570,999,-1.4,6.0,1.0,1.0
571,580,999,-0.5,4.0,1.0,1.0
581,590,999,1.1,5.0,1.0,1.0
591,600,999,-1.3,4.0,1.0,1.0
501,600,999,-0.05,8.0,1.0,1.0
601,610,999,-0.7,5.0,1.0,1.0
611,620,999,-0.1,2.0,1.0,1.0
621,630,999,0.0,2.0,1.0,1.0
631,640,999,-1.4,6.0,1.0,1.0
641,650,999,0.5,5.0,1.0,1.0
651,660,999,1.2,6.0,1.0,1.0
661,670,999,-1.3,2.0,1.0,1.0
671,680,999,0.6,7.0,1.0,1.0
681,690,999,0.4,5.0,1.0,1.0
691,700,999,0.8,5.0,1.0,1.0
601,700,999,0.0,7.0,1.0,1.0
701,710,999,-0.7,5.0,1.0,1.0
711,720,999,0.1,5.0,1.0,1.0
721,730,999,-0.7,7.0,1.0,1.0
731,740,999,1.0,6.0,1.0,1.0
741,750,999,0.0,3.0,1.0,1.0
751,760,999,-1.6,0.0,1.0,1.0
761,770,999,-0.7,4.0,1.0,1.0
771,780,999,-1.0,4.0,1.0,1.0
781,790,999,-0.9,4.0,1.0,1.0
791,800,999,0.3,4.0,1.0,1.0
701,800,999,-0.42,7.0,1.0,1.0
801,810,999,-1.5,3.0,1.0,1.0
811,820,999,0.5,2.0,1.0,1.0
821,830,999,0.9,3.0,1.0,1.0
831,840,999,-1.5,3.0,1.0,1.0
841,850,999,0.3,3.0,1.0,1.0
851,860,999,-0.3,4.0,1.0,1.0
861,870,999,0.4,4.0,1.0,1.0
871,880,999,1.9,4.0,1.0,1.0
881,890,999,0.1,4.0,1.0,1.0
891,900,999,-0.2,3.0,1.0,1.0
801,900,999,0.06,4.0,1.0,1.0
901,910,999,1.1,4.0,1.0,1.0
911,920,999,-1.4,3.0,1.0,1.0
921,930,999,0.4,4.0,1.0,1.0
931,940,999,0.2,6.0,1.0,1.0
941,950,999,0.7,3.0,1.0,1.0
951,960,999,1.0,6.0,1.0,1.0
961,970,999,0.9,4.0,1.0,1.0
971,980,999,0.7,4.0,1.0,1.0
981,990,999,-0.6,4.0,1.0,1.0
991,1000,999,-1.6,2.0,1.0,1.0
901,1000,999,0.14,6.0,1.0,1.0
1001,1000,999,0.14,6.0,1.0,1.0
