start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
1,10,901,-20.5,-19.0,0.997,0.9704
11,20,951,-20.0,-18.0,0.9675,0.9417
21,30,965,-20.3,-19.0,0.9389,0.9138
31,40,891,-20.2,-19.0,0.9111,0.8868
41,50,834,-21.0,-21.0,0.8841,0.8605
51,60,905,-20.5,-19.0,0.8579,0.835
61,70,901,-20.4,-19.0,0.8325,0.8103
71,80,961,-20.2,-19.0,0.8079,0.7863
81,90,897,-20.5,-19.0,0.784,0.7631
91,100,892,-20.7,-19.0,0.7608,0.7405
1,100,910,-20.43,-18.0,0.997,0.7405
101,110,949,-20.7,-20.0,0.7383,0.7186
111,120,916,-20.5,-19.0,0.7164,0.6973
121,130,942,-20.3,-19.0,0.6952,0.6767
131,140,925,-20.3,-19.0,0.6746,0.6566
141,150,962,-19.8,-17.0,0.6547,0.6372
151,160,955,-20.4,-19.0,0.6353,0.6183
161,170,1010,-20.7,-19.0,0.6165,0.6
171,180,950,-20.6,-20.0,0.5982,0.5823
181,190,1014,-19.8,-17.0,0.5805,0.565
191,200,1146,-19.4,-16.0,0.5633,0.5483
101,200,977,-20.25,-16.0,0.7383,0.5483
201,210,1076,-19.8,-18.0,0.5467,0.5321
211,220,1205,-19.4,-17.0,0.5305,0.5163
221,230,1187,-18.9,-17.0,0.5148,0.5011
231,240,1134,-19.9,-18.0,0.4996,0.4862
241,250,1235,-19.0,-18.0,0.4848,0.4718
251,260,1362,-18.0,-16.0,0.4704,0.4579
261,270,1332,-18.7,-16.0,0.4565,0.4443
271,280,1598,-17.2,-15.0,0.443,0.4312
281,290,1668,-17.0,-13.0,0.4299,0.4184
291,300,1644,-17.1,-16.0,0.4171,0.406
201,300,1344,-18.5,-13.0,0.5467,0.406
301,310,1770,-17.2,-14.0,0.4048,0.394
311,320,1551,-18.3,-14.0,0.3928,0.3823
321,330,1724,-17.5,-15.0,0.3812,0.371
331,340,1824,-16.4,-10.0,0.3699,0.36
341,350,2205,-15.1,-13.0,0.359,0.3494
351,360,1971,-14.6,-13.0,0.3483,0.339
361,370,2135,-14.2,-7.0,0.338,0.329
371,380,2352,-11.4,-9.0,0.328,0.3193
381,390,2286,-12.2,-9.0,0.3183,0.3098
391,400,2183,-11.8,-7.0,0.3089,0.3007
301,400,2000,-14.87,-7.0,0.4048,0.3007
401,410,2418,-10.3,-3.0,0.2997,0.2918
411,420,2622,-11.4,-6.0,0.2909,0.2831
421,430,2392,-11.7,-2.0,0.2823,0.2747
431,440,2589,-10.4,-5.0,0.2739,0.2666
441,450,2615,-8.2,1.0,0.2658,0.2587
451,460,2984,-6.5,1.0,0.2579,0.2511
461,470,2694,-4.5,9.0,0.2503,0.2436
471,480,2957,-1.2,12.0,0.2429,0.2364
481,490,3135,-1.3,8.0,0.2357,0.2294
491,500,2858,-2.6,9.0,0.2287,0.2226
401,500,2726,-6.81,12.0,0.2997,0.2226
501,510,2628,-7.6,1.0,0.222,0.216
511,520,2885,-5.2,7.0,0.2154,0.2096
521,530,2990,-1.1,12.0,0.209,0.2034
531,540,3144,0.6,6.0,0.2028,0.1974
541,550,3157,2.7,8.0,0.1968,0.1916
551,560,3102,3.5,10.0,0.191,0.1859
501,568,2984,-0.97,14.0,0.2444,0.182
