start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
start_episode,end_episode,average_time_steps,average_score,high_score,start_eps,end_eps
1,10,182,1.4,4.0,0.997,0.9704
11,20,158,0.6,1.0,0.9675,0.9417
21,30,207,1.7,4.0,0.9389,0.9138
31,40,172,1.0,3.0,0.9111,0.8868
41,50,196,1.6,6.0,0.8841,0.8605
51,60,146,0.3,1.0,0.8579,0.835
61,70,151,0.5,1.0,0.8325,0.8103
71,80,183,1.2,4.0,0.8079,0.7863
81,90,159,0.7,3.0,0.784,0.7631
91,100,167,0.9,2.0,0.7608,0.7405
1,100,172,0.99,6.0,0.997,0.7405
101,110,165,0.9,4.0,0.7383,0.7186
111,120,143,0.3,2.0,0.7164,0.6973
121,130,185,1.3,3.0,0.6952,0.6767
131,140,166,0.8,3.0,0.6746,0.6566
141,150,142,0.4,2.0,0.6547,0.6372
151,160,169,0.9,3.0,0.6353,0.6183
161,170,185,1.3,5.0,0.6165,0.6
171,180,146,0.4,2.0,0.5982,0.5823
181,190,173,0.5,4.0,0.5805,0.565
191,200,161,0.4,2.0,0.5633,0.5483
101,200,164,0.72,5.0,0.7383,0.5483
201,210,155,0.3,2.0,0.5467,0.5321
211,220,148,0.3,1.0,0.5305,0.5163
221,230,147,0.0,0.0,0.5148,0.5011
231,240,166,0.9,4.0,0.4996,0.4862
241,250,133,0.1,1.0,0.4848,0.4718
251,260,140,0.3,2.0,0.4704,0.4579
261,270,142,0.4,2.0,0.4565,0.4443
271,280,158,0.9,4.0,0.443,0.4312
281,290,153,0.7,2.0,0.4299,0.4184
291,300,129,0.1,1.0,0.4171,0.406
201,300,147,0.4,4.0,0.5467,0.406
301,310,133,0.3,1.0,0.4048,0.394
311,320,153,0.4,2.0,0.3928,0.3823
321,330,159,0.0,0.0,0.3812,0.371
331,340,153,0.0,0.0,0.3699,0.36
341,350,149,0.0,0.0,0.359,0.3494
351,360,154,0.0,0.0,0.3483,0.339
361,370,161,0.0,0.0,0.338,0.329
371,380,141,0.1,1.0,0.328,0.3193
381,390,151,0.6,3.0,0.3183,0.3098
391,400,127,0.1,1.0,0.3089,0.3007
301,400,148,0.15,3.0,0.4048,0.3007
401,410,125,0.1,1.0,0.2997,0.2918
411,420,122,0.0,0.0,0.2909,0.2831
421,430,122,0.0,0.0,0.2823,0.2747
431,440,125,0.1,1.0,0.2739,0.2666
441,450,131,0.2,1.0,0.2658,0.2587
451,460,149,0.6,3.0,0.2579,0.2511
461,470,143,0.5,3.0,0.2503,0.2436
471,480,138,0.4,4.0,0.2429,0.2364
481,490,126,0.1,1.0,0.2357,0.2294
491,500,136,0.4,1.0,0.2287,0.2226
401,500,132,0.24,4.0,0.2997,0.2226
501,510,168,1.0,6.0,0.222,0.216
511,520,132,0.2,2.0,0.2154,0.2096
521,530,160,0.9,5.0,0.209,0.2034
531,540,149,0.6,3.0,0.2028,0.1974
541,550,142,0.5,3.0,0.1968,0.1916
551,560,147,0.7,3.0,0.191,0.1859
561,570,142,0.4,3.0,0.1853,0.1804
571,580,162,1.1,4.0,0.1799,0.1751
581,590,171,1.2,4.0,0.1745,0.1699
591,600,187,1.6,4.0,0.1694,0.1649
501,600,156,0.82,6.0,0.222,0.1649
601,610,144,0.6,2.0,0.1644,0.16
611,620,173,1.0,3.0,0.1595,0.1552
621,630,155,0.8,2.0,0.1548,0.1506
631,640,162,0.9,3.0,0.1502,0.1462
641,650,168,1.0,4.0,0.1457,0.1419
651,660,178,1.3,4.0,0.1414,0.1377
661,670,156,1.1,3.0,0.1372,0.1336
671,680,164,1.3,2.0,0.1332,0.1296
681,690,171,1.3,2.0,0.1292,0.1258
691,700,161,1.1,3.0,0.1254,0.1221
601,700,163,1.04,4.0,0.1644,0.1221
701,710,193,1.4,3.0,0.1217,0.1185
711,720,234,2.1,4.0,0.1181,0.115
721,730,195,1.4,3.0,0.1146,0.1115
731,740,222,1.9,4.0,0.1112,0.1082
741,750,227,2.2,5.0,0.1079,0.105
751,760,178,1.2,4.0,0.1047,0.1019
761,770,228,2.0,4.0,0.1016,0.0989
771,780,250,2.7,5.0,0.0986,0.096
781,790,272,2.6,5.0,0.0957,0.0931
791,800,203,2.0,4.0,0.0929,0.0904
701,800,220,1.95,5.0,0.1217,0.0904
801,810,215,2.4,4.0,0.0901,0.0877
811,820,224,2.6,5.0,0.0875,0.0851
821,830,227,2.7,4.0,0.0849,0.0826
831,840,224,2.6,5.0,0.0824,0.0802
841,850,161,1.0,3.0,0.0799,0.0778
851,860,196,2.0,5.0,0.0775,0.0755
861,870,194,2.0,6.0,0.0753,0.0732
871,880,190,1.9,3.0,0.073,0.0711
881,890,204,2.3,4.0,0.0709,0.069
891,900,219,2.6,4.0,0.0688,0.0669
801,900,205,2.21,6.0,0.0901,0.0669
901,910,241,3.2,8.0,0.0667,0.065
911,920,228,2.6,6.0,0.0648,0.063
921,930,231,3.1,7.0,0.0628,0.0612
931,940,273,3.3,6.0,0.061,0.0594
941,950,230,3.1,6.0,0.0592,0.0576
951,960,227,3.3,7.0,0.0574,0.0559
961,970,278,3.7,6.0,0.0557,0.0542
971,980,270,3.3,5.0,0.0541,0.0526
981,990,274,3.5,6.0,0.0525,0.0511
991,1000,260,3.7,8.0,0.0509,0.0496
901,1000,251,3.28,8.0,0.0667,0.0496
1001,1010,257,3.5,6.0,0.0494,0.0481
1011,1020,273,4.1,6.0,0.048,0.0467
1021,1030,255,3.6,6.0,0.0465,0.0453
1031,1040,215,2.3,4.0,0.0452,0.044
1041,1050,206,1.7,4.0,0.0438,0.0426
1051,1060,314,4.3,7.0,0.0425,0.0414
1061,1070,323,4.5,8.0,0.0413,0.0402
1071,1080,326,5.3,9.0,0.04,0.039
1081,1090,233,3.5,5.0,0.0389,0.0378
1091,1100,224,3.3,5.0,0.0377,0.0367
1001,1100,263,3.61,9.0,0.0494,0.0367
1101,1110,255,3.5,5.0,0.0366,0.0356
1111,1120,253,4.4,9.0,0.0355,0.0346
1121,1130,327,4.8,8.0,0.0345,0.0335
1131,1140,324,4.8,9.0,0.0334,0.0325
1141,1150,336,4.1,5.0,0.0324,0.0316
1151,1160,288,4.2,5.0,0.0315,0.0306
1161,1170,265,4.2,8.0,0.0306,0.0297
1171,1180,378,5.5,12.0,0.0297,0.0289
1181,1190,245,3.7,5.0,0.0288,0.028
1191,1200,327,5.0,10.0,0.0279,0.0272
1101,1200,300,4.42,12.0,0.0366,0.0272
1201,1210,377,5.4,14.0,0.0271,0.0264
1211,1220,332,4.9,8.0,0.0263,0.0256
1221,1230,378,5.8,9.0,0.0255,0.0248
1231,1240,377,5.3,9.0,0.0248,0.0241
1241,1250,356,5.9,12.0,0.024,0.0234
1251,1260,450,6.6,14.0,0.0233,0.0227
1261,1270,382,5.9,13.0,0.0226,0.022
1271,1280,458,7.9,13.0,0.022,0.0214
1281,1290,519,8.9,12.0,0.0213,0.0207
1291,1300,564,9.2,13.0,0.0207,0.0201
1201,1300,419,6.58,14.0,0.0271,0.0201
1301,1310,592,11.0,15.0,0.0201,0.0195
1311,1320,551,10.8,22.0,0.0195,0.0189
1321,1330,519,8.2,11.0,0.0189,0.0184
1331,1340,561,9.6,20.0,0.0183,0.0178
1341,1350,528,8.8,11.0,0.0178,0.0173
1351,1360,525,10.4,21.0,0.0173,0.0168
1361,1370,525,8.9,11.0,0.0168,0.0163
1371,1380,934,11.3,16.0,0.0163,0.0158
1381,1390,467,10.6,17.0,0.0158,0.0154
1391,1400,506,10.3,15.0,0.0153,0.0149
1301,1400,571,9.99,22.0,0.0201,0.0149
1401,1410,554,12.7,20.0,0.0149,0.0145
1411,1420,554,13.2,16.0,0.0144,0.014
1421,1430,611,14.0,20.0,0.014,0.0136
1431,1440,684,13.3,16.0,0.0136,0.0132
1441,1450,678,14.7,18.0,0.0132,0.0128
1451,1460,573,13.9,24.0,0.0128,0.0124
1461,1470,601,14.4,20.0,0.0124,0.0121
1471,1480,724,15.5,18.0,0.012,0.0117
1481,1490,763,17.6,26.0,0.0117,0.0114
1491,1500,819,16.4,24.0,0.0113,0.011
1401,1500,656,14.57,26.0,0.0149,0.011
1501,1510,723,14.0,22.0,0.011,0.0107
1511,1520,859,14.4,19.0,0.0107,0.0104
1521,1530,736,16.1,23.0,0.0104,0.0101
1531,1540,781,19.3,22.0,0.0101,0.01
1541,1550,808,18.4,25.0,0.01,0.01
1551,1560,684,16.8,22.0,0.01,0.01
1561,1570,755,16.3,27.0,0.01,0.01
1571,1580,818,19.7,35.0,0.01,0.01
1581,1590,771,17.8,25.0,0.01,0.01
1591,1600,823,19.5,31.0,0.01,0.01
1501,1600,776,17.23,35.0,0.011,0.01
1601,1610,792,21.6,29.0,0.01,0.01
1611,1620,944,22.0,27.0,0.01,0.01
1621,1630,914,21.8,31.0,0.01,0.01
1631,1640,792,17.1,28.0,0.01,0.01
1641,1650,685,16.6,28.0,0.01,0.01
1651,1660,776,20.0,34.0,0.01,0.01
1661,1670,736,19.7,28.0,0.01,0.01
1671,1680,678,19.7,26.0,0.01,0.01
1681,1690,818,20.6,31.0,0.01,0.01
1691,1700,793,17.4,25.0,0.01,0.01
1601,1700,793,19.65,34.0,0.01,0.01
1701,1710,668,20.3,26.0,0.01,0.01
