episode,time_step,action,lives,reward,score
1,1,2,0,0.0,0.0
1,2,11,0,0.0,0.0
1,3,5,0,0.0,0.0
1,4,12,0,0.0,0.0
1,5,8,0,0.0,0.0
1,6,10,0,0.0,0.0
1,7,1,0,0.0,0.0
1,8,11,0,0.0,0.0
1,9,0,0,0.0,0.0
1,10,8,0,0.0,0.0
1,11,2,0,0.0,0.0
1,12,16,0,0.0,0.0
1,13,4,0,0.0,0.0
1,14,10,0,0.0,0.0
1,15,3,0,0.0,0.0
1,16,8,0,2.0,2.0
1,17,8,0,0.0,2.0
1,18,5,0,0.0,2.0
1,19,8,0,0.0,2.0
1,20,9,0,0.0,2.0
1,21,2,0,0.0,2.0
1,22,2,0,0.0,2.0
1,23,10,0,0.0,2.0
1,24,8,0,0.0,2.0
1,25,1,0,0.0,2.0
1,26,8,0,0.0,2.0
1,27,2,0,0.0,2.0
1,28,2,0,0.0,2.0
1,29,8,0,0.0,2.0
1,30,11,0,0.0,2.0
1,31,5,0,0.0,2.0
1,32,8,0,0.0,2.0
1,33,0,0,-1.0,1.0
1,34,10,0,0.0,1.0
1,35,2,0,0.0,1.0
1,36,3,0,0.0,1.0
1,37,8,0,0.0,1.0
1,38,17,0,0.0,1.0
1,39,2,0,0.0,1.0
1,40,7,0,0.0,1.0
1,41,4,0,0.0,1.0
1,42,11,0,0.0,1.0
1,43,8,0,0.0,1.0
1,44,10,0,0.0,1.0
1,45,8,0,0.0,1.0
1,46,2,0,0.0,1.0
1,47,1,0,0.0,1.0
1,48,7,0,0.0,1.0
1,49,11,0,0.0,1.0
1,50,9,0,0.0,1.0
1,51,10,0,0.0,1.0
1,52,8,0,0.0,1.0
1,53,8,0,0.0,1.0
1,54,5,0,0.0,1.0
1,55,4,0,0.0,1.0
1,56,4,0,-1.0,0.0
1,57,2,0,0.0,0.0
1,58,3,0,0.0,0.0
1,59,8,0,0.0,0.0
1,60,6,0,0.0,0.0
1,61,1,0,0.0,0.0
1,62,5,0,0.0,0.0
1,63,2,0,0.0,0.0
1,64,8,0,0.0,0.0
