time/fps,time/total_timesteps,time/iterations,time/time_elapsed,train/learning_rate,train/loss,train/approx_kl,train/explained_variance,train/clip_range,train/clip_fraction,train/policy_gradient_loss,train/n_updates,train/value_loss,train/entropy_loss
1171,2048,1,1,,,,,,,,,,
547,4096,2,7,0.001,-0.04048130661249161,0.014653064,0.0002976059913635254,0.2,0.14052734375,-0.007901306316489354,10,6.503139128200564,-2.878018233180046
464,6144,3,13,0.001,-0.09399761259555817,0.020594835,-0.1839592456817627,0.2,0.13642578125,-0.02684112748247571,20,0.0027576997217693133,-2.867632180452347
426,8192,4,19,0.001,-0.1662348210811615,0.06086801,-0.5860373973846436,0.2,0.43505859375,-0.08345149392844178,30,0.0012672367280174512,-2.8385695308446883
416,10240,5,24,0.001,-0.17561718821525574,0.096255615,0.30500227212905884,0.2,0.60283203125,-0.10926411657128483,40,0.0011591522401431576,-2.7747604876756666
408,12288,6,30,0.001,-0.17725181579589844,0.10026185,-0.32576680183410645,0.2,0.627685546875,-0.11501412519719452,50,0.0008212791100959294,-2.7869724720716476
401,14336,7,35,0.001,-0.1838071346282959,0.12325548,-0.04945218563079834,0.2,0.661962890625,-0.11945205488009378,60,0.0008117722239148861,-2.769578430056572
394,16384,8,41,0.001,-0.07666924595832825,0.052835986,-0.0019098520278930664,0.2,0.43037109375,-0.0360432596411556,70,0.008945988207415212,-2.8228369832038878
391,18432,9,47,0.001,-0.18079137802124023,0.12602311,-0.14384210109710693,0.2,0.693701171875,-0.1213699822081253,80,0.0002481062547303736,-2.782548651099205
386,20480,10,53,0.001,-0.17944681644439697,0.13725111,-0.1550809144973755,0.2,0.7083984375,-0.12422769226832316,90,0.00021736112621510982,-2.7627538472414015
383,22528,11,58,0.001,-0.0642634704709053,0.03596794,-0.0002646446228027344,0.2,0.293701171875,-0.03681352636194788,100,0.042561282473616305,-2.8410741984844208
380,24576,12,64,0.001,-0.06173457205295563,0.03847521,0.0006301403045654297,0.2,0.32900390625,-0.03389330849749968,110,0.008581764767586719,-2.8376412987709045
378,26624,13,70,0.001,-0.17687278985977173,0.15950143,-0.319730281829834,0.2,0.693701171875,-0.12034752438776194,120,8.89164914497087e-05,-2.793906083703041
376,28672,14,76,0.001,-0.18242426216602325,0.1480068,-1.3143744468688965,0.2,0.70859375,-0.12182551389560103,130,9.246945373888593e-05,-2.7770356267690657
373,30720,15,82,0.001,-0.02274041622877121,0.021902066,-0.0013115406036376953,0.2,0.21650390625,-0.017871213209582494,140,0.030174723535310477,-2.8522660583257675
373,32768,16,87,0.001,-0.1689656376838684,0.12891677,-1.5659027099609375,0.2,0.690283203125,-0.11956268516369165,150,0.00012359883025965247,-2.8038729190826417
371,34816,17,93,0.001,-0.1862175315618515,0.1459236,-2.7236623764038086,0.2,0.734716796875,-0.12744366073748098,160,6.860613152639416e-05,-2.7999031484127044
371,36864,18,99,0.001,-0.07124194502830505,0.044715684,-0.0007479190826416016,0.2,0.24677734375,-0.04793860430945642,170,0.033012409484945236,-2.846743831038475
371,38912,19,104,0.001,-0.0493190735578537,0.06874609,-0.0023506879806518555,0.2,0.4837890625,-0.03406222490593791,180,0.004007039714679195,-2.8454499006271363
369,40960,20,110,0.001,-0.05678495764732361,0.029485423,-0.0001537799835205078,0.2,0.207666015625,-0.051703197346068916,190,0.059474241873249414,-2.8672494918107985
370,43008,21,116,0.001,-0.17153342068195343,0.13514367,-2.591339349746704,0.2,0.703955078125,-0.12691316265554634,200,3.602976825050064e-05,-2.820242378115654
369,45056,22,121,0.001,-0.06659539043903351,0.041246437,-0.0011372566223144531,0.2,0.26123046875,-0.03125841462751851,210,0.008597715584619437,-2.8524814188480376
369,47104,23,127,0.001,-0.05520043522119522,0.027469402,-0.0007989406585693359,0.2,0.2224609375,-0.025717092666309328,220,0.008617350837448612,-2.8657145142555236
369,49152,24,133,0.001,-0.05231203883886337,0.041697517,-0.001184701919555664,0.2,0.23203125,-0.017362545055220835,230,0.006566725964535181,-2.8703167647123338
367,51200,25,139,0.001,-0.03613915666937828,0.028507508,-4.029273986816406e-05,0.2,0.180517578125,-0.06138366528321058,240,0.17571034729480745,-2.8654547303915026
365,53248,26,145,0.001,-0.059500306844711304,0.025583237,-9.572505950927734e-05,0.2,0.140673828125,-0.05051320183556527,250,0.08058526087552309,-2.872348216176033
364,55296,27,151,0.001,-0.0522046834230423,0.014202606,-0.0006256103515625,0.2,0.09248046875,-0.022052899526897818,260,0.007855315477354453,-2.8734066009521486
364,57344,28,157,0.001,-0.02878747135400772,0.036635704,-2.3365020751953125e-05,0.2,0.211572265625,-0.057187351398169994,270,0.11066457633860409,-2.866403675079346
364,59392,29,163,0.001,-0.04317907243967056,0.028452871,-6.723403930664062e-05,0.2,0.170361328125,-0.047885034151840956,280,0.0838599493727088,-2.865030327439308
364,61440,30,168,0.001,-0.06290429085493088,0.013891995,-0.0004824399948120117,0.2,0.091796875,-0.025980322947725655,290,0.011108066007727757,-2.8770282059907912
363,63488,31,174,0.001,-0.180324986577034,0.12067278,-1.4213612079620361,0.2,0.677783203125,-0.12426495790714398,300,8.025519721854835e-06,-2.8379817426204683
363,65536,32,180,0.001,-0.06588128209114075,0.034405187,-0.0001285076141357422,0.2,0.1994140625,-0.03422490130760707,310,0.014280034304829315,-2.8549751430749892
363,67584,33,186,0.001,-0.0618051141500473,0.033073455,-6.532669067382812e-05,0.2,0.174365234375,-0.04443700814153999,320,0.03608758782502264,-2.8585278034210204
362,69632,34,192,0.001,-0.1767793446779251,0.12232238,-0.4568772315979004,0.2,0.69052734375,-0.12343167594517582,330,5.709725684255318e-06,-2.826448029279709
362,71680,35,197,0.001,-0.18070891499519348,0.16271174,-5.509775638580322,0.2,0.731201171875,-0.1257354052911978,340,7.515525001622336e-06,-2.7946354359388352
361,73728,36,203,0.001,-0.05003850907087326,0.036454204,-6.961822509765625e-05,0.2,0.216552734375,-0.030311753635760396,350,0.034216051347902975,-2.845655596256256
362,75776,37,209,0.001,-0.038747139275074005,0.022197986,-5.793571472167969e-05,0.2,0.122265625,-0.036665052740136164,360,0.06334844902157784,-2.8683135479688646
362,77824,38,214,0.001,-0.06870748847723007,0.024346322,-0.00013828277587890625,0.2,0.148095703125,-0.04381530525861308,370,0.030428560636937618,-2.873010057210922
362,79872,39,220,0.001,-0.06161807104945183,0.013889875,-0.00012874603271484375,0.2,0.076220703125,-0.02821294559398666,380,0.008483409959444544,-2.8745864391326905
362,81920,40,225,0.001,-0.06458640098571777,0.019492403,-4.744529724121094e-05,0.2,0.10810546875,-0.03739405912347138,390,0.016962198697729036,-2.8716452956199645
362,83968,41,231,0.001,-0.07451163977384567,0.037443988,-3.063678741455078e-05,0.2,0.19560546875,-0.048112129373475906,400,0.02447437511291355,-2.8613778829574583
361,86016,42,237,0.001,-0.17905867099761963,0.12753466,-2.7118844985961914,0.2,0.704638671875,-0.12556899493793025,410,4.841753886353218e-06,-2.8321369349956513
362,88064,43,243,0.001,-0.045425157994031906,0.021662934,-0.0002537965774536133,0.2,0.182861328125,-0.027821442554704846,420,0.008519350002461578,-2.8632818907499313
361,90112,44,248,0.001,-0.16779275238513947,0.14123619,-2.2299249172210693,0.2,0.691357421875,-0.11634843820938841,430,4.103855302162173e-06,-2.824763259291649
361,92160,45,254,0.001,-0.04515529423952103,0.027042547,-2.6226043701171875e-05,0.2,0.151904296875,-0.03729420998133719,440,0.04168051930610091,-2.8569955348968508
361,94208,46,260,0.001,-0.18832390010356903,0.15115738,-2.0704052448272705,0.2,0.7326171875,-0.13010096931247972,450,5.383626297827959e-06,-2.8191344410181047
361,96256,47,266,0.001,-0.17981623113155365,0.16389102,-4.960362434387207,0.2,0.7546875,-0.12925438263919203,460,3.5847266914856846e-06,-2.8009996503591537
361,98304,48,271,0.001,-0.18115819990634918,0.16894883,-4.474940776824951,0.2,0.766845703125,-0.1295814618933946,470,2.2216405270114593e-06,-2.791769394278526
361,100352,49,277,0.001,-0.06436769664287567,0.036286812,-3.886222839355469e-05,0.2,0.23720703125,-0.040371811820659784,480,0.017027800146024674,-2.8562651365995406
361,102400,50,283,0.001,-0.05640767142176628,0.030648813,-0.0002595186233520508,0.2,0.12900390625,-0.03038494290667586,490,0.008526459828135557,-2.862244302034378
361,104448,51,289,0.001,-0.17022177577018738,0.13998097,-1.9713332653045654,0.2,0.724560546875,-0.12629262185946571,500,2.910611488005088e-06,-2.8245272666215895
361,106496,52,294,0.001,-0.18649277091026306,0.16791916,-1.927443504333496,0.2,0.759326171875,-0.13135545899858697,510,1.780801399320353e-06,-2.793552479147911
360,108544,53,300,0.001,-0.05864066258072853,0.026580255,-8.296966552734375e-05,0.2,0.2125,-0.025677966105286033,520,0.008553136207046919,-2.857471925020218
361,110592,54,306,0.001,-0.184945747256279,0.15233809,-2.8938143253326416,0.2,0.727587890625,-0.13021563987713308,530,2.3549178550297255e-06,-2.8203836023807525
361,112640,55,311,0.001,-0.18655215203762054,0.17973477,-2.1877732276916504,0.2,0.765087890625,-0.13165192038286477,540,1.730721355386322e-06,-2.7947851538658144
361,114688,56,317,0.001,-0.050548505038022995,0.040283207,-1.633167266845703e-05,0.2,0.25322265625,-0.038129619951359925,550,0.04276327430270612,-2.8431388676166534
360,116736,57,323,0.001,-0.17940016090869904,0.16199788,-3.1967501640319824,0.2,0.723095703125,-0.1248954869050067,560,3.2002578308265583e-06,-2.8206833779811857
360,118784,58,329,0.001,-0.17895977199077606,0.16859576,-4.0394110679626465,0.2,0.753662109375,-0.12760953821707516,570,2.4532652453501667e-06,-2.7728607982397078
360,120832,59,335,0.001,-0.18597669899463654,0.18462789,-7.068937301635742,0.2,0.77548828125,-0.13226038451539351,580,4.578861404525014e-06,-2.764760249853134
360,122880,60,340,0.001,-0.18000629544258118,0.16969019,-4.652488708496094,0.2,0.75849609375,-0.12754693537717685,590,2.5488167395337768e-06,-2.763024535775185
360,124928,61,346,0.001,-0.044890373945236206,0.033241224,-8.356571197509766e-05,0.2,0.210546875,-0.0253941833274439,600,0.008243350044358522,-2.83111911714077
360,126976,62,352,0.001,-0.04913397505879402,0.054043718,-0.00012946128845214844,0.2,0.2763671875,-0.018056504020933062,610,0.00608653378748727,-2.8415847033262254
360,129024,63,357,0.001,-0.18278737366199493,0.15996027,-1.876554012298584,0.2,0.75029296875,-0.13075068471953272,620,3.1772896704751474e-06,-2.7987064599990843
359,131072,64,364,0.001,-0.1798081398010254,0.1979969,-1.8059778213500977,0.2,0.7650390625,-0.13166569711174816,630,8.110505049785388e-07,-2.7754611343145372
360,133120,65,369,0.001,-0.18147146701812744,0.19050151,-2.3713645935058594,0.2,0.7654296875,-0.12716728002997116,640,3.466296872645103e-07,-2.755872493982315
360,135168,66,375,0.001,-0.032314483076334,0.04757677,-2.4318695068359375e-05,0.2,0.32041015625,-0.01197489065816626,650,0.006043102351651441,-2.841953757405281
360,137216,67,381,0.001,-0.070631243288517,0.040588118,-0.00029790401458740234,0.2,0.24296875,-0.04347638124600053,660,0.017085073178168386,-2.8378310799598694
360,139264,68,386,0.001,-0.05287187173962593,0.020957908,-0.0003222227096557617,0.2,0.13525390625,-0.025341169245075436,670,0.00850763523922069,-2.857255205512047
360,141312,69,392,0.001,-0.03735794872045517,0.019461092,-5.364418029785156e-05,0.2,0.10791015625,-0.03388752783066593,680,0.03970012408099137,-2.8630872309207915
360,143360,70,398,0.001,-0.1811632215976715,0.13990095,-3.6726937294006348,0.2,0.718701171875,-0.13028129532467575,690,3.5583662196359e-06,-2.8276611983776094
360,145408,71,403,0.001,-0.18250548839569092,0.18421344,-7.126862525939941,0.2,0.765771484375,-0.13067939480533824,700,1.6195628553816732e-06,-2.7933510094881058
360,147456,72,409,0.001,-0.18611900508403778,0.20640716,-4.575976848602295,0.2,0.780322265625,-0.13284345999127253,710,1.2154401254349523e-06,-2.775791996717453
359,149504,73,415,0.001,-0.18410614132881165,0.20136307,-3.912468433380127,0.2,0.77177734375,-0.1316853689495474,720,1.2167664017681546e-06,-2.7794310241937636
359,151552,74,420,0.001,-0.05158885568380356,0.036824938,-4.303455352783203e-05,0.2,0.24423828125,-0.02857254622504115,730,0.008561862612259575,-2.847825300693512
359,153600,75,426,0.001,-0.05230768769979477,0.02587175,-4.38690185546875e-05,0.2,0.1638671875,-0.03829858383396641,740,0.04260294967098162,-2.856898033618927
359,155648,76,432,0.001,-0.04354626685380936,0.028493633,-0.0002046823501586914,0.2,0.187158203125,-0.03985900063998997,750,0.0426687283674255,-2.855695778131485
360,157696,77,437,0.001,-0.1799832284450531,0.14290036,-3.814945697784424,0.2,0.716357421875,-0.12950328893493862,760,6.008502532495186e-06,-2.822531780600548
