time/iterations,rollout/ep_len_mean,time/fps,train/n_updates,train/learning_rate,train/value_loss,time/total_timesteps,train/entropy_loss,time/time_elapsed,train/explained_variance,rollout/ep_rew_mean,train/policy_loss
100,226.5,240,99,0.0007,0.39720281958580017,8000,-1.3035978078842163,33,0.41365259885787964,1.5,-0.035660773515701294
200,433.0,263,199,0.0007,0.08806474506855011,16000,-0.6303696036338806,60,0.9486736729741096,9.8,-0.09857381880283356
300,435.7,272,299,0.0007,0.015398654155433178,24000,-0.03042629361152649,88,0.9879035791382194,10.6,-0.0002207322249887511
400,437.8,279,399,0.0007,0.0077723609283566475,32000,-0.03571619093418121,114,0.9926664084196091,11.2,0.007451351266354322
500,445.4,287,499,0.0007,0.007390055805444717,40000,-0.06909213960170746,139,0.9885870106518269,10.7,0.0003539590397849679
600,442.7,290,599,0.0007,0.00022794996039010584,48000,-0.09067220985889435,165,0.9998308605718194,11.0,-9.428057819604874e-05
700,447.0,292,699,0.0007,0.00022789054492022842,56000,-0.047323908656835556,191,0.9998653626826126,11.0,-9.53738926909864e-05
800,442.9,293,799,0.0007,0.0035960394889116287,64000,-0.08818358182907104,217,0.9969339712988585,10.4,-5.6473686527169775e-06
900,443.1,295,899,0.0007,0.0005471704062074423,72000,-0.032354798167943954,243,0.9995192250062246,11.0,-0.0010643884306773543
1000,439.7,296,999,0.0007,0.0010926710674539208,80000,-0.21272626519203186,270,0.9987950207432732,10.3,0.00022402429021894932
1100,442.2,297,1099,0.0007,0.0017337746685370803,88000,-0.07942042499780655,296,0.9987472468055785,9.8,-8.279865141957998e-05
1200,442.9,297,1199,0.0007,0.012684647925198078,96000,-0.08667639642953873,322,0.9826688505709171,10.6,0.026140576228499413
1300,438.3,298,1299,0.0007,0.0044599915854632854,104000,-0.11987683922052383,348,0.9969274064060301,10.6,-0.004688808228820562
1400,442.8,298,1399,0.0007,0.002531846985220909,112000,-0.08472254127264023,374,0.9976165911648422,11.0,0.009733162820339203
1500,445.5,299,1499,0.0007,0.0002565352478995919,120000,-0.12794730067253113,401,0.9997298096423037,10.7,0.0017308183014392853
1600,444.0,299,1599,0.0007,0.004409650806337595,128000,-0.17273500561714172,427,0.9961889395490289,10.3,0.0005128475022502244
1700,437.9,299,1699,0.0007,0.0015869876369833946,136000,-0.1894647479057312,453,0.9992153302300721,9.3,-0.006201270502060652
1800,443.2,299,1799,0.0007,0.0011572486255317926,144000,-0.15760305523872375,480,0.9987056973623112,10.6,-0.0003043449833057821
1900,434.5,300,1899,0.0007,0.007239175494760275,152000,-0.4732495844364166,506,0.994600975420326,8.3,0.0227959044277668
2000,444.1,300,1999,0.0007,0.006188356317579746,160000,-0.17617371678352356,532,0.9957861350849271,9.7,0.0014436899218708277
2100,434.3,300,2099,0.0007,0.0087953582406044,168000,-0.2900851368904114,559,0.993520928081125,8.4,0.0009709093137644231
2200,447.7,300,2199,0.0007,0.011788363568484783,176000,-0.25406694412231445,585,0.9911697395145893,10.1,-0.038030486553907394
2300,456.0,300,2299,0.0007,0.017753902822732925,184000,-0.36025431752204895,611,0.9888210408389568,8.5,-0.01300959475338459
2400,557.0,301,2399,0.0007,0.043313439935445786,192000,-0.34764763712882996,637,0.9586505368351936,16.2,-0.0729086771607399
2500,579.2,301,2499,0.0007,0.14244091510772705,200000,-0.42673513293266296,663,0.8325768560171127,14.3,0.001272466848604381
2600,645.5,302,2599,0.0007,0.12120290845632553,208000,-0.14748452603816986,688,0.8666179031133652,15.9,-0.016104508191347122
2700,730.1,302,2699,0.0007,0.06946846842765808,216000,-0.20198822021484375,713,0.8482291847467422,21.9,0.0434979610145092
2800,692.2,303,2799,0.0007,0.15887154638767242,224000,-0.14987671375274658,737,0.9482718631625175,20.9,0.0046971626579761505
