rollout/ep_len_mean,train/n_updates,train/policy_loss,time/iterations,train/value_loss,time/time_elapsed,train/entropy_loss,rollout/ep_rew_mean,train/explained_variance,time/fps,time/total_timesteps,train/learning_rate
772.4,99,-0.003434571670368314,100,0.186707004904747,23,-0.3872186839580536,-21.0,0.07031619548797607,347,8000,0.0007
919.2,199,-0.17866818606853485,200,0.23563268780708313,43,-1.258737564086914,-20.8,-0.0116652250289917,363,16000,0.0007
959.3,299,0.015615522861480713,300,2.736128568649292,65,-0.5250064730644226,-20.5,-0.01149749755859375,368,24000,0.0007
764.0,399,0.03398837894201279,400,0.10138051956892014,86,-0.12029745429754257,-21.0,0.2528844475746155,370,32000,0.0007
764.0,499,-0.0007777882856316864,500,0.057468533515930176,107,-0.06871547549962997,-21.0,0.6221727430820465,370,40000,0.0007
770.0,599,-0.08091845363378525,600,0.053770389407873154,129,-0.11437296122312546,-21.0,0.6832034289836884,371,48000,0.0007
764.0,699,-0.003464317647740245,700,0.06889238208532333,149,-0.06518399715423584,-21.0,0.4257902503013611,373,56000,0.0007
764.0,799,7.720386747678276e-06,800,1.5309313535690308,171,-0.001667690696194768,-21.0,-0.0150526762008667,373,64000,0.0007
764.0,899,-4.54273873629063e-07,900,0.01217846479266882,193,-0.002369081834331155,-21.0,0.8276382088661194,371,72000,0.0007
764.0,999,0.00044454369344748557,1000,1.5695914030075073,216,-0.015033498406410217,-21.0,0.11334609985351562,370,80000,0.0007
764.0,1099,0.015478973276913166,1100,0.12637221813201904,238,-0.04686886444687843,-21.0,0.55499267578125,368,88000,0.0007
764.0,1199,0.004893187899142504,1200,0.7792764902114868,260,-0.024143582209944725,-21.0,0.8084423542022705,368,96000,0.0007
770.0,1299,-0.00028712762286886573,1300,0.09154167026281357,280,-0.01163551490753889,-21.0,0.9118400365114212,370,104000,0.0007
764.0,1399,0.020789766684174538,1400,1.0663378238677979,300,-0.05654630810022354,-21.0,0.7335931956768036,372,112000,0.0007
764.0,1499,0.0002532220387365669,1500,0.08670070022344589,322,-0.039198312908411026,-21.0,0.9494050852954388,371,120000,0.0007
770.0,1599,-4.260132118361071e-05,1600,0.06902086734771729,344,-0.00420043570920825,-21.0,0.8919894695281982,372,128000,0.0007
764.0,1699,0.01321057416498661,1700,0.025966381654143333,365,-0.4387778341770172,-21.0,0.9951167460530996,371,136000,0.0007
770.1,1799,0.012744838371872902,1800,0.0971871018409729,386,-0.14897169172763824,-21.0,0.9733013138175011,372,144000,0.0007
764.0,1899,-0.000801917165517807,1900,0.03280987963080406,406,-0.14637719094753265,-21.0,0.9863665672019124,374,152000,0.0007
764.0,1999,0.03489002585411072,2000,0.11804325878620148,426,-0.28694698214530945,-21.0,0.9835885167121887,375,160000,0.0007
764.0,2099,-0.006490587722510099,2100,0.10068464279174805,448,-0.02536446414887905,-21.0,0.9478214867413044,374,168000,0.0007
770.0,2199,-0.050951194018125534,2200,0.08916780352592468,469,-0.23357068002223969,-21.0,0.9794155731797218,374,176000,0.0007
764.0,2299,-0.0682477131485939,2300,0.2657252848148346,490,-0.5577058792114258,-21.0,0.9809326753020287,374,184000,0.0007
764.0,2399,0.03790060058236122,2400,0.1920350044965744,512,-0.2147337943315506,-21.0,0.9566496945917606,374,192000,0.0007
772.0,2499,-0.0693909302353859,2500,0.09770437330007553,532,-0.45047932863235474,-21.0,0.9775761980563402,375,200000,0.0007
764.0,2599,-0.07502468675374985,2600,0.08803433924913406,552,-0.3734395205974579,-21.0,0.9644388742744923,376,208000,0.0007
764.0,2699,0.20466522872447968,2700,0.2296261340379715,575,-0.7746886014938354,-21.0,0.9634595215320587,375,216000,0.0007
843.3,2799,-0.028341451659798622,2800,0.06280360370874405,597,-1.0464240312576294,-20.8,0.9757223837077618,374,224000,0.0007
895.8,2899,0.03676025569438934,2900,0.08819293975830078,618,-0.8925178647041321,-20.9,0.9796546194702387,375,232000,0.0007
868.8,2999,0.08263184130191803,3000,0.08933309465646744,639,-0.7424910664558411,-20.9,0.9841515105217695,375,240000,0.0007
969.1,3099,0.07765185087919235,3100,0.08634041994810104,659,-0.9682582020759583,-20.6,0.9814273025840521,375,248000,0.0007
965.7,3199,-0.02452431432902813,3200,0.060163963586091995,679,-1.0914474725723267,-20.8,0.9910482093691826,376,256000,0.0007
952.8,3299,-0.0598573200404644,3300,0.06550314277410507,699,-0.9907192587852478,-20.7,0.9837388768792152,377,264000,0.0007
950.5,3399,0.02444118820130825,3400,0.128604918718338,720,-0.768652617931366,-20.7,0.9572001695632935,377,272000,0.0007
958.2,3499,0.10695411264896393,3500,0.11391401290893555,741,-0.7461113929748535,-20.6,0.9656483121216297,377,280000,0.0007
905.8,3599,-0.050907861441373825,3600,0.14457784593105316,762,-0.9493110775947571,-20.8,0.9710790235549212,377,288000,0.0007
967.9,3699,-0.08863278478384018,3700,0.12639813125133514,783,-0.9536405801773071,-20.3,0.9693278819322586,377,296000,0.0007
919.8,3799,-0.04004918783903122,3800,0.06788413226604462,803,-0.8092889785766602,-20.8,0.9903103411197662,378,304000,0.0007
930.8,3899,-0.016175368800759315,3900,0.07122663408517838,824,-1.050993800163269,-21.0,0.9773428067564964,378,312000,0.0007
906.3,3999,0.012383795343339443,4000,0.08996801823377609,845,-1.0315693616867065,-20.8,0.9863314516842365,378,320000,0.0007
928.6,4099,0.1710241734981537,4100,0.09187846630811691,867,-0.9789053201675415,-20.6,0.984872124157846,378,328000,0.0007
977.7,4199,-0.008619907312095165,4200,0.0851035863161087,888,-0.9480224847793579,-20.9,0.9806360993534327,378,336000,0.0007
936.5,4299,0.11757977306842804,4300,0.06974076479673386,909,-1.044729471206665,-20.7,0.9826595429331064,378,344000,0.0007
994.2,4399,-0.08500263094902039,4400,0.059869587421417236,928,-1.063161849975586,-20.5,0.9893941162154078,379,352000,0.0007
949.9,4499,-0.20643377304077148,4500,0.3476937711238861,949,-0.9976949691772461,-20.6,0.9171934202313423,379,360000,0.0007
923.4,4599,0.014315363951027393,4600,0.09046832472085953,970,-0.7579215168952942,-20.8,0.9792820028960705,379,368000,0.0007
925.6,4699,0.013205790892243385,4700,0.0773669183254242,992,-0.7765393257141113,-20.9,0.9797878824174404,378,376000,0.0007
1001.1,4799,0.03029453568160534,4800,0.0827498659491539,1013,-0.8295871615409851,-20.3,0.9815848078578711,378,384000,0.0007
920.0,4899,0.0520009882748127,4900,0.06642044335603714,1034,-0.9189319610595703,-21.0,0.9860570542514324,378,392000,0.0007
925.9,4999,-0.044829048216342926,5000,0.10559508949518204,1054,-0.9066210985183716,-20.8,0.9618305936455727,379,400000,0.0007
978.1,5099,-0.051677919924259186,5100,0.0777529701590538,1074,-0.7924326658248901,-20.7,0.9831133857369423,379,408000,0.0007
986.5,5199,-0.029589921236038208,5200,0.06777850538492203,1096,-0.9033531546592712,-20.9,0.9813066013157368,379,416000,0.0007
910.5,5299,0.004266928881406784,5300,0.08301407098770142,1118,-0.8406369090080261,-20.9,0.9882369441911578,379,424000,0.0007
910.3,5399,0.014822150580585003,5400,0.07316181808710098,1139,-0.8290433883666992,-20.8,0.9705714583396912,379,432000,0.0007
928.1,5499,0.08303386718034744,5500,0.05096126347780228,1159,-0.9340753555297852,-20.6,0.9899309650063515,379,440000,0.0007
1039.8,5599,0.09638378769159317,5600,0.07889682799577713,1179,-0.8682737350463867,-20.7,0.9737548138946295,379,448000,0.0007
916.5,5699,-0.07092082500457764,5700,0.0335499532520771,1199,-0.9455591440200806,-20.9,0.9951600995846093,380,456000,0.0007
995.3,5799,-0.01980864815413952,5800,0.0411139614880085,1221,-0.8318302035331726,-20.5,0.9882926531136036,379,464000,0.0007
1021.0,5899,0.040486641228199005,5900,0.12277350574731827,1243,-0.8603140115737915,-20.5,0.9073097333312035,379,472000,0.0007
895.8,5999,-0.00788969174027443,6000,0.04935561865568161,1264,-0.771467387676239,-20.8,0.9931489317677915,379,480000,0.0007
