time/total_timesteps,train/explained_variance,rollout/ep_rew_mean,train/value_loss,time/fps,train/learning_rate,train/entropy_loss,time/time_elapsed,train/n_updates,train/policy_loss,rollout/ep_len_mean,time/iterations
8000,0.84341000020504,10.6,0.21574078500270844,263,0.0007,-0.058312952518463135,30,99,-0.001641160692088306,442.3,100
16000,0.9607907645404339,9.5,0.035272397100925446,285,0.0007,-0.6381105780601501,56,199,-0.06327690929174423,421.6,200
24000,0.9951011259108782,10.6,0.004682981874793768,292,0.0007,-0.05172910913825035,82,299,-0.002837234875187278,442.9,300
32000,0.9963753647170961,10.1,0.007007965352386236,298,0.0007,-0.3692949414253235,107,399,0.006287220865488052,448.0,400
40000,0.9988082172349095,9.0,0.0012408930342644453,300,0.0007,-0.5254489779472351,133,499,0.0011578932171687484,438.5,500
48000,0.9807389639317989,8.9,0.03368694707751274,302,0.0007,-0.4606725871562958,158,599,-0.060820698738098145,430.8,600
56000,0.9476939775049686,8.9,0.032581012696027756,303,0.0007,-0.25482177734375,184,699,0.0013223219430074096,433.4,700
64000,0.9709068592637777,9.0,0.03496875986456871,304,0.0007,-0.3195978105068207,210,799,0.010351818054914474,437.3,800
72000,0.8893512487411499,10.5,0.1552904099225998,304,0.0007,-0.6011953353881836,236,899,-0.0011570126516744494,488.2,900
80000,0.9696721192449331,19.9,0.0441572479903698,306,0.0007,-0.20224614441394806,261,999,0.020881880074739456,575.1,1000
88000,0.9745201766490936,15.1,0.046668317168951035,307,0.0007,-0.3158056437969208,286,1099,-0.07880985736846924,585.3,1100
96000,0.8836078941822052,21.0,0.1399914026260376,308,0.0007,-0.18474797904491425,310,1199,0.006995126139372587,626.0,1200
104000,0.9408033564686775,20.5,0.07143750041723251,310,0.0007,-0.2067122459411621,335,1299,0.009272649884223938,694.6,1300
112000,0.9660895690321922,20.8,0.08267399668693542,311,0.0007,-0.19963513314723969,359,1399,-0.05372334271669388,713.8,1400
120000,0.9674809724092484,25.5,0.11016096919775009,312,0.0007,-0.1587233692407608,383,1499,0.034814607352018356,785.2,1500
128000,0.9759273808449507,22.9,0.0605451725423336,314,0.0007,-0.12212219089269638,407,1599,0.0012997679878026247,761.3,1600
136000,0.9855153597891331,24.1,0.04999661445617676,314,0.0007,-0.10224419087171555,431,1699,-0.02364160120487213,796.2,1700
144000,0.9809286259114742,26.0,0.047183532267808914,315,0.0007,-0.08915384113788605,455,1799,0.013603085651993752,910.4,1800
152000,0.8947494328022003,23.4,0.20023618638515472,316,0.0007,-0.13457827270030975,479,1899,0.018992846831679344,825.8,1900
160000,0.9759802594780922,30.0,0.12578849494457245,317,0.0007,-0.06336160004138947,503,1999,-0.015963103622198105,978.3,2000
168000,0.9156158939003944,28.7,0.32222163677215576,318,0.0007,-0.07161974161863327,527,2099,-0.011571488343179226,948.9,2100
176000,0.9643848463892937,35.7,0.2185857743024826,319,0.0007,-0.03471295163035393,551,2199,-0.0012222457444295287,1033.0,2200
184000,0.9855051822960377,36.8,0.07486812025308609,320,0.0007,-0.06309103220701218,574,2299,-0.01341975200921297,1069.0,2300
192000,0.9802546054124832,40.4,0.09130292385816574,320,0.0007,-0.015748504549264908,598,2399,-0.003229636000469327,1079.4,2400
200000,0.9708778969943523,40.1,0.08263356983661652,321,0.0007,-0.03239059820771217,622,2499,-0.000426910090027377,1104.3,2500
208000,0.9852396324276924,37.8,0.060304779559373856,322,0.0007,-0.09587810188531876,645,2599,0.010270620696246624,1086.1,2600
216000,0.9821243789047003,40.9,0.09515461325645447,322,0.0007,-0.051485516130924225,668,2699,-0.0174381323158741,1099.5,2700
224000,0.9502829499542713,41.9,0.16050437092781067,323,0.0007,-0.05473959445953369,692,2799,-0.00278946734033525,1135.8,2800
232000,0.9972797315567732,42.6,0.010535228066146374,324,0.0007,-0.03491544723510742,715,2899,0.0012259014183655381,1189.8,2900
240000,0.9705812968313694,40.0,0.14333786070346832,324,0.0007,-0.06414467096328735,739,2999,0.005839550402015448,1130.1,3000
248000,0.9939821073785424,40.9,0.029624534770846367,325,0.0007,-0.0963563546538353,762,3099,0.009587901644408703,1106.9,3100
256000,0.9884885186329484,36.3,0.039371080696582794,325,0.0007,-0.010361305437982082,786,3199,0.0002575824037194252,994.3,3200
264000,0.9881331901997328,38.5,0.04037036746740341,325,0.0007,-0.0739990845322609,809,3299,0.005723193753510714,1032.0,3300
272000,0.9974212171509862,42.1,0.014366233721375465,326,0.0007,-0.010583767667412758,833,3399,-0.00016577844507992268,1142.5,3400
280000,0.9962472501210868,44.9,0.03510161489248276,326,0.0007,-0.01730492152273655,857,3499,-8.739090844755992e-05,1197.8,3500
288000,0.9932291018776596,46.7,0.03608977794647217,326,0.0007,-0.042871687561273575,881,3599,0.00024699789355508983,1161.9,3600
296000,0.9943046984262764,41.5,0.016169121488928795,326,0.0007,-0.00945427268743515,905,3699,0.00024038206902332604,1069.0,3700
304000,0.9946700283326209,42.4,0.014625257812440395,327,0.0007,-0.016419118270277977,928,3799,0.00018227532564196736,1117.8,3800
