time/time_elapsed,rollout/ep_rew_mean,time/iterations,time/total_timesteps,rollout/ep_len_mean,time/fps,train/n_updates,train/clip_range,train/approx_kl,train/loss,train/value_loss,train/explained_variance,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/clip_fraction
118,1.3,1,32768,210.3,275,,,,,,,,,,
276,1.8,2,65536,229.1,237,10,0.2,0.019490102,0.029267454519867897,0.08429085530879092,0.023057758808135986,-0.01634894982307742,0.0003,-1.369000124000013,0.2027252197265625
431,4.2,3,98304,319.3,227,20,0.2,0.027509622,0.039296675473451614,0.16168002150661778,0.6285582482814789,-0.04391412353434134,0.0003,-1.3175727799534798,0.274224853515625
574,9.3,4,131072,470.2,228,30,0.2,0.031236656,0.03483260050415993,0.18583012100061752,0.6607967615127563,-0.04999342052624343,0.0003,-1.2590814313385637,0.30166015625
715,12.9,5,163840,553.0,228,40,0.2,0.039500266,-0.00665399432182312,0.1477758415778226,0.7643392980098724,-0.05168176891238545,0.0003,-1.1999146229820326,0.3096405029296875
857,17.2,6,196608,638.4,229,50,0.2,0.040757895,-0.04770589992403984,0.13911821373294514,0.8313917964696884,-0.05176176074819523,0.0003,-1.1607637649169191,0.3241119384765625
1004,20.4,7,229376,733.9,228,60,0.2,0.04502593,-0.03516028821468353,0.13454874129383826,0.8535362184047699,-0.04910846002649123,0.0003,-1.1163315353333019,0.33817138671875
1141,24.3,8,262144,785.9,229,70,0.2,0.05211942,-0.035314831882715225,0.11776861464968533,0.878826804459095,-0.05363945713143039,0.0003,-1.089690689346753,0.3626800537109375
1279,20.5,9,294912,726.5,230,80,0.2,0.060851075,-0.05340636521577835,0.09291701026922965,0.9023394510149956,-0.05813976435028963,0.0003,-1.0629184888210148,0.391632080078125
1422,21.3,10,327680,776.7,230,90,0.2,0.06838444,-0.075599804520607,0.10469202409767604,0.9151728376746178,-0.059627023106259,0.0003,-1.0273263651528395,0.3947845458984375
1559,21.7,11,360448,793.0,231,100,0.2,0.08169395,-0.05728892236948013,0.089981925920074,0.9328061044216156,-0.06288844816772325,0.0003,-0.9908417268889025,0.41170654296875
1693,30.3,12,393216,955.4,232,110,0.2,0.08356868,-0.07731003314256668,0.08901082807788044,0.9344029724597931,-0.06309912529577559,0.0003,-0.9613141099805944,0.4196929931640625
1824,32.6,13,425984,1002.0,233,120,0.2,0.086793035,-0.05538751929998398,0.12692897878405346,0.926216334104538,-0.0576715316843547,0.0003,-0.9281824678299018,0.4266204833984375
1970,31.9,14,458752,1005.3,232,130,0.2,0.0903445,-0.02377106249332428,0.07352988217444363,0.9519525617361069,-0.05459465118337903,0.0003,-0.9019322422682308,0.4098876953125
2113,29.7,15,491520,1006.9,232,140,0.2,0.08975553,-0.013686731457710266,0.0703737119483776,0.9547972641885281,-0.0533144399104458,0.0003,-0.8623222758062183,0.39276123046875
2258,27.4,16,524288,957.1,232,150,0.2,0.08363046,-0.04758601263165474,0.08793050571257481,0.9550116695463657,-0.04830680962113547,0.0003,-0.8320389680331572,0.3680908203125
2389,32.3,17,557056,999.7,233,160,0.2,0.0894582,-0.047518640756607056,0.12177138982369798,0.948538426309824,-0.04963999517804041,0.0003,-0.7984131835866719,0.3713836669921875
2520,38.0,18,589824,1140.5,234,170,0.2,0.09376168,-0.02889443188905716,0.10754732986970339,0.9549585208296776,-0.04848581781707253,0.0003,-0.771694022626616,0.373468017578125
