#{"t_start": 1713771305.1894057, "env_id": "BreakoutDeterministic-v4"}
r,l,t
0.0,158,6.336884
3.0,292,9.245399
0.0,183,10.752629
2.0,234,13.381222
4.0,300,16.941141
0.0,166,18.322623
1.0,202,20.172147
2.0,253,22.782791
1.0,182,24.512736
3.0,284,27.543778
1.0,219,29.470131
3.0,287,32.312878
10.0,457,37.832467
2.0,257,40.361036
1.0,200,42.451282
1.0,213,44.447818
1.0,219,46.210753
3.0,268,48.981981
1.0,216,51.048924
1.0,205,52.930208
1.0,178,54.590425
2.0,242,56.693649
0.0,155,58.196033
2.0,252,60.941759
3.0,301,63.9559
1.0,194,65.857366
0.0,155,67.302851
4.0,320,70.896155
0.0,173,72.187714
1.0,225,74.198421
2.0,241,76.487522
0.0,163,77.978329
0.0,170,79.252191
2.0,265,81.91042
2.0,215,84.09321
1.0,187,85.912923
1.0,211,87.889518
2.0,272,90.739173
3.0,298,94.145782
2.0,243,96.704048
2.0,220,98.845118
3.0,274,101.592649
1.0,209,103.350349
1.0,217,105.16767
2.0,229,107.435617
0.0,174,108.919776
3.0,301,112.069383
0.0,154,113.438209
1.0,217,115.235873
2.0,218,117.537832
1.0,222,119.519567
2.0,236,171.903014
3.0,294,174.783746
5.0,376,178.849781
1.0,176,180.333903
2.0,238,182.625638
3.0,308,185.751763
1.0,202,187.697819
2.0,254,189.959965
4.0,335,193.55745
5.0,352,197.208474
4.0,336,200.590312
1.0,219,202.589173
3.0,286,205.447993
3.0,257,207.899822
0.0,157,209.079575
5.0,370,213.009051
6.0,402,217.589389
4.0,319,220.879967
4.0,301,223.689489
2.0,258,226.053527
2.0,239,228.214274
0.0,182,229.699796
4.0,321,232.836546
2.0,218,234.913305
1.0,203,236.502092
2.0,244,238.653354
1.0,193,240.441034
3.0,301,243.423978
1.0,207,245.105934
2.0,242,247.305791
4.0,332,250.522153
6.0,431,255.219491
1.0,183,256.874835
0.0,170,258.242047
4.0,313,261.520649
3.0,299,264.337168
2.0,260,266.629936
2.0,238,268.806457
2.0,218,270.817631
1.0,193,272.412159
5.0,355,276.114173
2.0,275,328.709987
6.0,391,332.902922
10.0,586,339.244878
5.0,384,343.043467
1.0,193,344.609138
5.0,359,348.057393
6.0,395,352.207658
4.0,296,355.149303
7.0,450,359.41959
6.0,385,363.226159
8.0,458,368.348313
7.0,475,373.619814
10.0,448,378.468224
2.0,223,380.269887
4.0,300,383.354747
5.0,357,386.922513
5.0,343,390.472517
7.0,480,395.584592
3.0,287,398.13184
3.0,324,401.098185
5.0,360,404.528629
3.0,270,407.060534
6.0,409,411.228108
9.0,438,415.431361
5.0,330,418.596333
6.0,465,423.31675
5.0,360,426.82813
5.0,337,472.322682
6.0,411,476.032022
9.0,545,481.472856
9.0,577,487.384179
6.0,392,491.169402
10.0,522,496.364524
5.0,330,499.502009
17.0,632,506.104275
8.0,451,510.720142
7.0,404,514.779872
7.0,422,518.72297
12.0,530,524.008405
5.0,361,527.274025
6.0,451,531.776749
8.0,467,536.265135
13.0,685,543.334206
1.0,185,544.827052
7.0,427,548.968096
7.0,466,553.515995
11.0,498,558.619515
9.0,526,563.818472
6.0,386,609.206017
11.0,619,615.233831
12.0,646,621.636201
9.0,522,626.698121
18.0,653,633.198987
12.0,576,638.634485
10.0,508,643.480885
12.0,499,648.315754
14.0,486,652.996149
8.0,422,656.79057
19.0,567,662.505938
13.0,574,668.388415
19.0,669,675.401409
12.0,654,682.036245
18.0,631,688.668184
18.0,661,695.227445
10.0,529,748.911539
12.0,510,753.538073
19.0,639,759.984607
13.0,609,765.925109
18.0,638,772.216281
9.0,449,776.664825
13.0,568,782.16157
18.0,530,787.332367
13.0,553,792.513668
17.0,771,800.223204
11.0,517,805.080655
12.0,631,811.526772
21.0,645,818.134048
15.0,622,824.232822
15.0,666,830.976871
17.0,569,836.558114
12.0,640,883.960041
20.0,637,890.135089
22.0,760,897.677678
16.0,522,902.603324
16.0,632,908.881557
14.0,610,914.867401
17.0,706,922.087373
14.0,552,927.506356
12.0,566,933.046922
23.0,773,941.07158
21.0,637,947.317559
12.0,612,953.3343
22.0,905,962.28316
17.0,740,969.480487
14.0,614,1017.309696
23.0,694,1024.02404
9.0,494,1028.782613
15.0,610,1034.887005
19.0,772,1042.404039
16.0,616,1048.477779
15.0,630,1054.456668
21.0,663,1061.155415
26.0,857,1069.784202
13.0,639,1076.119349
18.0,631,1082.188976
25.0,813,1090.404902
16.0,518,1095.221792
21.0,698,1102.164125
22.0,756,1149.393214
17.0,673,1155.942375
27.0,864,1164.679311
22.0,822,1172.685061
26.0,785,1180.543091
13.0,651,1186.968077
20.0,681,1193.47705
23.0,705,1200.540389
19.0,615,1206.472939
18.0,720,1213.513939
28.0,803,1221.340242
22.0,752,1228.74452
25.0,859,1278.48927
24.0,700,1285.081706
25.0,828,1293.437567
26.0,812,1301.4304
17.0,703,1308.14987
26.0,912,1317.30181
24.0,805,1325.172165
29.0,1003,1335.302794
19.0,736,1342.702257
30.0,886,1351.515234
21.0,878,1360.363443
27.0,861,1408.526945
17.0,676,1414.949544
20.0,782,1422.645939
28.0,871,1431.300776
17.0,673,1437.824929
18.0,702,1444.866783
28.0,750,1452.200203
21.0,836,1460.580273
23.0,792,1468.487514
18.0,728,1475.759797
19.0,782,1483.527058
20.0,796,1531.487849
28.0,897,1540.310554
22.0,896,1549.272933
36.0,978,1559.234764
32.0,953,1568.86687
24.0,877,1577.580956
14.0,578,1583.04478
24.0,832,1591.266758
18.0,749,1598.50001
23.0,842,1606.796877
26.0,975,1616.465588
23.0,912,1665.340424
22.0,903,1674.301409
21.0,864,1682.806478
27.0,1008,1692.874341
30.0,1004,1702.74797
30.0,973,1712.351194
18.0,704,1719.190199
25.0,933,1728.446361
27.0,864,1736.982693
26.0,949,1787.406172
25.0,872,1795.630515
25.0,916,1804.768174
32.0,1039,1815.081495
24.0,983,1824.904549
30.0,971,1834.561177
28.0,912,1843.629201
32.0,983,1853.387954
18.0,764,1860.637877
24.0,857,1869.184794
32.0,915,1919.99262
32.0,1015,1930.25176
28.0,1015,1940.599496
31.0,1002,1950.69826
29.0,1057,1961.512338
25.0,986,1971.441564
25.0,859,1979.530033
36.0,1016,1989.830201
30.0,962,1999.437543
25.0,958,2049.371823
24.0,952,2058.870478
21.0,794,2066.667745
22.0,890,2075.38057
10.0,535,2080.244277
41.0,1241,2092.538745
4.0,295,2094.968781
22.0,816,2103.092722
37.0,1092,2114.008256
19.0,760,2121.360943
29.0,1073,2131.991672
25.0,834,2180.639158
20.0,749,2188.080532
32.0,1086,2198.850899
24.0,909,2208.085088
24.0,966,2217.745304
21.0,803,2225.504563
18.0,766,2232.92598
25.0,892,2241.701323
32.0,1079,2252.334109
47.0,1184,2304.427848
28.0,1086,2315.381723
33.0,1018,2325.467512
21.0,835,2333.656414
42.0,1139,2344.835384
45.0,1128,2356.027255
41.0,994,2365.825417
29.0,1004,2375.910128
33.0,1126,2387.151334
34.0,1005,2437.710364
37.0,1060,2448.236563
32.0,990,2458.071095
47.0,1192,2469.691999
32.0,981,2479.410621
47.0,1208,2491.555183
38.0,1104,2502.368535
38.0,1220,2514.417801
42.0,1004,2563.9325
25.0,964,2573.447023
52.0,1127,2584.698694
40.0,1029,2594.787564
50.0,1246,2607.226711
32.0,952,2616.584765
31.0,901,2625.553725
42.0,1048,2636.092472
32.0,903,2684.464607
39.0,1096,2695.589523
3.0,292,2698.140708
12.0,540,2703.163352
10.0,522,2707.898704
20.0,686,2714.72898
30.0,867,2723.520096
13.0,554,2728.918936
1.0,188,2730.268525
7.0,453,2734.369534
42.0,1061,2745.230422
22.0,746,2752.524753
10.0,495,2757.317933
8.0,497,2761.972965
9.0,533,2767.032152
3.0,280,2769.431436
32.0,928,2818.002031
60.0,1300,2831.009897
13.0,700,2837.913599
50.0,1276,2850.887517
43.0,1068,2861.687428
55.0,1291,2874.764365
57.0,1280,2887.76166
33.0,899,2896.651628
47.0,1139,2947.349475
43.0,1187,2958.921085
54.0,1315,2972.084615
57.0,1128,2983.090195
61.0,1289,2995.931414
44.0,1135,3007.223925
47.0,1074,3017.924486
62.0,1141,3071.362912
52.0,1122,3082.864268
49.0,1147,3094.265361
51.0,1176,3106.156673
50.0,1116,3117.021673
47.0,1107,3127.827394
17.0,689,3134.346617
46.0,1041,3144.304036
9.0,482,3148.622656
54.0,1122,3198.594499
71.0,1204,3210.57982
10.0,536,3215.426593
83.0,1417,3229.412494
48.0,1067,3239.775374
68.0,1312,3252.588811
57.0,1260,3265.034741
44.0,986,3274.895936
48.0,1136,3326.958498
13.0,542,3332.218983
55.0,1155,3343.619647
41.0,974,3353.265584
18.0,618,3359.15212
6.0,358,3362.271115
63.0,1231,3374.595334
59.0,1187,3386.797667
21.0,696,3393.657737
17.0,619,3399.520266
16.0,658,3405.722813
45.0,1024,3458.126755
52.0,1139,3469.762032
50.0,1075,3480.621984
49.0,1071,3491.614419
12.0,521,3496.500866
8.0,474,3500.757177
12.0,501,3505.89906
59.0,1344,3519.371279
12.0,494,3524.196796
52.0,1291,3579.21262
63.0,1316,3592.056207
63.0,1410,3606.099519
6.0,382,3609.624802
81.0,1274,3622.649341
76.0,1311,3635.716304
55.0,1089,3646.788058
13.0,554,3652.198359
65.0,1265,3665.009034
56.0,1118,3718.332117
75.0,1403,3732.570371
60.0,1202,3744.435817
58.0,1230,3757.087525
69.0,1318,3770.124803
72.0,1305,3783.020312
60.0,1186,3835.678886
55.0,1080,3846.247199
68.0,1250,3858.776716
9.0,540,3863.68166
4.0,295,3866.153089
67.0,1338,3879.272172
75.0,1290,3891.943466
62.0,1236,3904.259053
74.0,1364,3917.401343
73.0,1247,3971.068637
82.0,1445,3985.89877
18.0,642,3991.997313
20.0,737,3999.15244
47.0,1137,4010.474018
30.0,879,4019.14931
19.0,665,4025.527751
25.0,844,4033.732112
59.0,1260,4046.42663
