rollout/ep_rew_mean,rollout/ep_len_mean,time/fps,time/total_timesteps,time/time_elapsed,time/iterations,train/clip_fraction,train/policy_gradient_loss,train/learning_rate,train/entropy_loss,train/loss,train/explained_variance,train/n_updates,train/clip_range,train/value_loss,train/approx_kl
1.5,220.2,265,32768,123,1,,,,,,,,,,
3.0,292.1,231,65536,283,2,0.235504150390625,-0.02021515927362998,0.0003,-1.3660971655743197,0.025877710431814194,0.004010975360870361,10,0.2,0.04751036189663864,0.025259
3.6,298.9,218,98304,450,3,0.3032684326171875,-0.04506866479823657,0.0003,-1.3127820614725352,-0.00368659570813179,0.5905849933624268,20,0.2,0.11643534907343564,0.03309599
8.9,428.9,218,131072,600,4,0.2957977294921875,-0.05154500738499337,0.0003,-1.2459362271009014,0.011379465460777283,0.6595662832260132,30,0.2,0.1577869831206044,0.032240197
13.7,570.6,220,163840,743,5,0.304296875,-0.05183518989924778,0.0003,-1.1871394840069116,0.041230663657188416,0.751466378569603,40,0.2,0.14327703560047667,0.040802598
15.6,625.5,222,196608,885,6,0.3243896484375,-0.05134755120288901,0.0003,-1.1468484471202829,-0.013868920505046844,0.8152369558811188,50,0.2,0.12122217440628447,0.042508207
19.4,720.9,222,229376,1029,7,0.3345977783203125,-0.05066761150883394,0.0003,-1.1148867476149462,-0.0114823579788208,0.8504058569669724,60,0.2,0.10937502601846064,0.047654413
22.7,781.6,222,262144,1179,8,0.3553436279296875,-0.055099650781630774,0.0003,-1.0772272638976574,0.03897678107023239,0.8430970162153244,70,0.2,0.13362782504045753,0.05328363
22.6,767.7,220,294912,1335,9,0.382427978515625,-0.05990584821993252,0.0003,-1.0539412417565472,-0.06581857800483704,0.856029748916626,80,0.2,0.1270081230031792,0.062305536
22.6,802.9,220,327680,1483,10,0.4167083740234375,-0.06355909467656602,0.0003,-1.030835664307233,-0.05772856995463371,0.8929431140422821,90,0.2,0.101923552309745,0.07097003
25.3,840.8,221,360448,1624,11,0.4246429443359375,-0.06665443868650982,0.0003,-0.9953361322055571,-0.0016735531389713287,0.9129256308078766,100,0.2,0.09296341150911758,0.08164054
24.1,811.1,223,393216,1758,12,0.4283355712890625,-0.06918214454562985,0.0003,-0.9628399271517992,-0.060562171041965485,0.9311973229050636,110,0.2,0.08514617043583712,0.09375313
28.0,909.2,223,425984,1901,13,0.42332763671875,-0.06497432542546448,0.0003,-0.9116734908660874,-0.04908725619316101,0.9285375624895096,120,0.2,0.11408776430434955,0.09914342
30.3,977.6,224,458752,2045,14,0.4236114501953125,-0.0644480331208797,0.0003,-0.8697974833776243,-0.05822909623384476,0.944749727845192,130,0.2,0.0904553936663433,0.10835719
31.8,1030.2,221,491520,2215,15,0.4225830078125,-0.0611261536980237,0.0003,-0.8476632689824328,-0.04181113839149475,0.9432423561811447,140,0.2,0.10455392639123602,0.114924535
