rollout/ep_rew_mean,time/iterations,time/fps,train/policy_loss,train/value_loss,train/explained_variance,train/learning_rate,train/entropy_loss,train/n_updates,time/time_elapsed,time/total_timesteps,rollout/ep_len_mean
-20.9,100,334,0.03708454594016075,0.15324608981609344,0.015600442886352539,0.0007,-0.9124512672424316,99,23,8000,964.5
-20.9,200,355,0.021713806316256523,0.203165203332901,0.017993152141571045,0.0007,-0.6675269603729248,199,44,16000,948.3
-20.7,300,368,-0.009937879629433155,0.22468732297420502,0.01534944772720337,0.0007,-1.0024775266647339,299,65,24000,930.3
-20.9,400,368,0.15882132947444916,0.13345561921596527,0.0262223482131958,0.0007,-0.7737602591514587,399,86,32000,964.1
-20.8,500,370,0.05639902502298355,0.13928161561489105,0.03180396556854248,0.0007,-1.0819236040115356,499,107,40000,953.8
-20.7,600,370,0.03175557404756546,0.16123686730861664,0.05527758598327637,0.0007,-0.8765172958374023,599,129,48000,953.1
-20.9,700,370,-0.06364671885967255,0.25432154536247253,0.06177818775177002,0.0007,-0.562294065952301,699,150,56000,928.3
-21.0,800,371,0.019865376874804497,4.274088382720947,0.07533693313598633,0.0007,-0.0811336413025856,799,172,64000,785.2
-21.0,900,373,-0.09072385728359222,0.17689836025238037,0.3413535952568054,0.0007,-0.3754352033138275,899,192,72000,770.0
-20.8,1000,373,0.03826345503330231,0.12043964862823486,0.4005705714225769,0.0007,-0.5357921719551086,999,214,80000,895.4
-20.7,1100,373,0.42434367537498474,1.0696667432785034,0.6823351979255676,0.0007,-0.7658290863037109,1099,235,88000,961.2
-20.8,1200,372,0.07538595795631409,0.592217743396759,0.8468294590711594,0.0007,-0.9221224188804626,1199,257,96000,888.7
-20.4,1300,373,0.02378801815211773,0.06578308343887329,0.8954903557896614,0.0007,-1.0125067234039307,1299,278,104000,950.9
-20.8,1400,373,-0.26947519183158875,0.14245083928108215,0.9075835719704628,0.0007,-1.3284512758255005,1399,300,112000,932.8
-20.8,1500,374,-0.19209301471710205,0.15989437699317932,0.7972907721996307,0.0007,-1.114052414894104,1499,320,120000,891.2
-20.8,1600,375,0.13490551710128784,0.06871313601732254,0.6709353029727936,0.0007,-1.0320396423339844,1599,341,128000,951.5
