time/time_elapsed,time/iterations,time/fps,rollout/ep_rew_mean,rollout/ep_len_mean,time/total_timesteps,train/entropy_loss,train/explained_variance,train/clip_fraction,train/learning_rate,train/value_loss,train/policy_gradient_loss,train/approx_kl,train/clip_range,train/loss,train/n_updates
80,1,404,-21.0,870.4,32768,,,,,,,,,,
203,2,322,-20.7,880.1,65536,-1.7841593251097947,-0.00280916690826416,0.0585235595703125,0.0003,0.1741271598752064,-0.0037252037493999525,0.0073365695,0.2,0.03637074679136276,10
328,3,299,-20.7,998.9,98304,-1.7740465045440943,0.45667582750320435,0.0825958251953125,0.0003,0.16314900293873508,-0.006686271091348317,0.0075225323,0.2,0.04436826705932617,20
462,4,283,-20.4,1015.2,131072,-1.7614709195448086,0.6860762536525726,0.1114349365234375,0.0003,0.1783997442071268,-0.010395407824216819,0.009263495,0.2,0.0381288006901741,30
590,5,277,-20.7,1077.2,163840,-1.740305787138641,0.7978087663650513,0.1143218994140625,0.0003,0.20453409293404548,-0.011614761729197199,0.009593707,0.2,0.10761306434869766,40
716,6,274,-20.2,1234.8,196608,-1.7126822240650654,0.8515060842037201,0.1453369140625,0.0003,0.19650675753364338,-0.015060392897794372,0.012248319,0.2,0.08787171542644501,50
835,7,274,-20.1,1309.8,229376,-1.69173423522152,0.8813748210668564,0.1558624267578125,0.0003,0.18664641752984606,-0.017500193794876395,0.013780527,0.2,0.03296760469675064,60
959,8,273,-18.8,1603.4,262144,-1.6618894149316474,0.9054229035973549,0.1870452880859375,0.0003,0.16451322690554662,-0.021197846225095417,0.01632359,0.2,0.03269112855195999,70
1086,9,271,-18.8,1799.6,294912,-1.6320615246426313,0.8997742310166359,0.21072998046875,0.0003,0.16234040078343243,-0.02721134262665146,0.019941622,0.2,0.0077181532979011536,80
1216,10,269,-18.2,1982.4,327680,-1.60178460679017,0.8922428488731384,0.2448944091796875,0.0003,0.15098325607032165,-0.033321945449279154,0.024736073,0.2,0.001038331538438797,90
1346,11,267,-16.2,2182.2,360448,-1.56955574140884,0.8778199180960655,0.2852935791015625,0.0003,0.14254350071933003,-0.04198168356397218,0.030359771,0.2,-0.04883727431297302,100
